,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceCurrentBorrowings,,6707000,,7135000,17444000,3742000,3496000,3630000,3510000,47606000,12249000,11666000,11821000,21480000
BalanceCurrentBorrowings_yy,,,,,,-44.21,,-49.12,-79.88,1172.21,250.37,221.38,236.78,-54.88
BalanceCurrentBorrowings_sy,,,,,,-32.94,,-16.00,-28.91,-6.35,4.11,30.83,16.05,-7.80
BalanceCurrentBorrowings_qq,,,-100.00,,144.48,-78.55,-6.57,3.83,-3.31,1256.30,-74.27,-4.76,1.33,81.71
BalanceCurrentBorrowings_sq,,,-0.09,,-1.88,1.36,-12.66,0.28,0.14,5.80,1.72,5.06,-3.13,2.46
BalanceCurrentObligations,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,158000,149000,147000,115000
BalanceCurrentLeasing_yy,,,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,-5.70,-1.34,-21.77
BalanceCurrentLeasing_sq,,,,,,,,,,,,-0.55,-3.57,-5.72
BalanceCurrentOtherLiabilities,,2992000,,3508000,3578000,3280000,3246000,11210000,4013000,4045000,5624000,6725000,6523000,8488000
BalanceCurrentOtherLiabilities_yy,,,,,,9.63,,219.56,12.16,23.32,73.26,-40.01,62.55,109.84
BalanceCurrentOtherLiabilities_sy,,,,,,8.82,,-4.53,-11.48,-9.45,-3.86,-4.74,11.18,11.08
BalanceCurrentOtherLiabilities_qq,,,-100.00,,2.00,-8.33,-1.04,245.35,-64.20,0.80,39.04,19.58,-3.00,30.12
BalanceCurrentOtherLiabilities_sq,,,-1.32,,0.12,1.80,-0.98,-6.49,-2.72,-0.38,2.73,7.43,-2.84,-3.99
BalanceReckoning,,423000,,97000,41000,,34000,7000,54000,21000,,1000,,34000
BalanceReckoning_yy,,,,,,-100.00,,-92.78,31.71,,-100.00,-85.71,-100.00,61.90
BalanceReckoning_sy,,,,,,27.34,,-11.68,2.06,,-9.30,14.06,18.26,22.10
BalanceReckoning_qq,,,-100.00,,-57.73,-100.00,,-79.41,671.43,-61.11,-100.00,,-100.00,
BalanceReckoning_sq,,,1.24,,13.42,30.61,,-73.61,13.56,12.87,11.59,,1.78,
