,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentReceivables,,,,,0,,,,52000,52000,52000,52000,52000,52000,52000,52000,,,53000,,,,,,,,,,,,
BalanceNoncurrentReceivables_yy,,,,,,,,,,,,,,,,,-100.00,-100.00,3.32,-100.00,,,-100.00,,,,,,,,
BalanceNoncurrentReceivables_sy,,,,,,,,,,,,,,,,,-30.77,-10.89,,-12.20,,,,,,,,,,,
BalanceNoncurrentReceivables_qq,,,,,,,,,,,,,,,,,-100.00,,,-100.00,,,,,,,,,,,
BalanceNoncurrentReceivables_sq,,,,,,,,,,,,,,,,,-9.69,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,2039000,3054000,3072000,3074000
BalanceNoncurrInvestments_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.78,0.60,0.09
BalanceNoncurrInvestments_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,,,,,33000,,,,7000,1000,3000,5000,8000,8000,8000,3000,193000,182000,118000,57000,242000,192000,101000,297000,789000,712000,630000,798000,238000,178000,1409000
BalanceOtherNoncurrentAssets_yy,,,,,,,,,-79.60,,,,18.37,792.08,158.38,-36.14,2307.36,2175.19,1368.61,1795.50,25.65,5.68,-14.04,422.33,226.08,269.86,523.69,169.04,-69.80,-75.03,123.63
BalanceOtherNoncurrentAssets_sy,,,,,,,,,14.45,,,,5.86,13.81,4.67,9.07,25.42,20.96,8.88,31.29,7.46,17.98,24.42,16.06,26.03,9.53,8.29,9.59,-3.00,-5.31,2.28
BalanceOtherNoncurrentAssets_qq,,,,,,-100.00,,,,-86.73,245.26,51.53,70.51,,,-62.55,6327.66,-5.49,-35.45,-51.66,326.06,-20.51,-47.49,193.72,165.99,-9.84,-11.46,26.70,-70.15,-25.43,692.82
BalanceOtherNoncurrentAssets_sq,,,,,,-4.51,,,,-0.22,1.77,-0.47,5.11,,,1.41,21.50,0.54,1.49,1.54,17.48,,2.96,0.64,11.08,0.18,1.82,-1.56,-3.42,-2.08,0.60
