,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
BalanceNoncurrentTradeLiabilities,13125000,11997000,10974000,13847000,12935000,12194000,13231000,16739000,24694000,23867000,24167000,24762000,20945000,31497000,43089000,44289000,42108000,38823000,36580000,63316000,34158000,33628000,40355000,119860000,139218000,122655000,131500000,142000000,836548000,809599000,770582000,880000000,932000000,872000000,820000000,774000000,899000000,895000000,960000000,,1052000000,1031000000,1027000000,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_yy,,,,,-1.45,1.64,20.57,20.89,90.91,95.73,82.65,47.93,-15.18,31.97,78.30,78.86,101.04,23.26,-15.11,42.96,-18.88,-13.38,10.32,89.30,307.57,264.74,225.86,18.47,500.89,560.06,485.99,519.72,11.41,7.71,6.41,-12.05,-3.54,2.64,17.07,-100.00,17.02,15.20,6.98,,-100.00,-100.00,-100.00,,,,,,,
BalanceNoncurrentTradeLiabilities_sy,,,,,-1.45,1.64,20.57,20.89,90.91,95.73,82.65,47.93,-15.18,31.97,78.30,78.86,101.04,23.26,-15.11,12.19,-18.88,-17.54,-7.18,31.72,145.21,118.49,105.37,9.13,1.84,-3.34,287.28,97.10,5.99,4.70,-8.01,-3.24,-1.14,-0.74,11.79,5.73,17.02,15.20,6.98,,-65.52,-24.60,-23.14,,,,,,,
BalanceNoncurrentTradeLiabilities_qq,,-8.59,-8.53,26.18,-6.59,-5.73,8.50,26.51,47.52,-3.35,1.26,2.46,-15.41,50.38,36.80,2.78,-4.92,-7.80,-5.78,73.09,-46.05,-1.55,20.00,197.01,16.15,-11.90,7.21,7.98,489.12,-3.22,-4.82,14.20,5.91,-6.44,-5.96,-5.61,16.15,-0.44,7.26,-100.00,,-2.00,-0.39,-100.00,,,,,,,,,,
BalanceNoncurrentTradeLiabilities_sq,,-8.59,-8.53,26.18,-6.59,-5.73,8.50,26.51,47.52,-3.35,1.26,2.46,-15.41,50.38,36.80,2.78,-52.46,-7.80,-3.06,31.16,-25.24,-4.70,7.94,92.40,3.28,-9.84,5.10,3.22,-8.64,-2.66,-2.19,-10.00,1.84,-3.72,-4.16,-1.16,-0.82,-0.44,8.46,2.52,,-5.40,-7.42,-6.20,,,,,,,,,,
BalanceNoncurrentBorrowings,58463000,56389000,57633000,63388000,57098000,154267000,154621000,150568000,154598000,152654000,163432000,162909000,165990000,69756000,87405000,98055000,105028000,102648000,101324000,120854000,122331000,166881000,166429000,173652000,174225000,129384000,157144000,194000000,1789773000,1929776000,1826305000,1783000000,1867000000,1918000000,1841000000,1714000000,2009000000,2075000000,2392000000,2997000000,3976000000,3903000000,3915000000,4870000000,4412000000,5816000000,6469000000,6539000000,5587000000,5493000000,5790000000,6191000000,5986000000,7472000000
BalanceNoncurrentBorrowings_yy,,,,,-2.33,173.58,168.29,137.53,170.76,-1.05,5.70,8.20,7.37,-54.30,-46.52,-39.81,-36.73,47.15,15.92,23.25,16.47,62.58,64.25,43.69,42.42,-22.47,-5.58,11.72,927.28,1391.51,1062.19,819.07,4.31,-0.61,0.80,-3.87,7.61,8.19,29.93,74.85,97.91,88.10,63.67,62.50,10.97,49.01,65.24,34.27,26.63,-5.55,-10.50,-5.32,7.14,36.03
BalanceNoncurrentBorrowings_sy,,,,,-2.33,173.58,168.29,137.53,170.76,-1.05,5.70,8.20,7.37,-54.30,-46.52,-39.81,-36.73,47.15,15.92,23.25,16.47,62.58,64.25,-27.32,-20.00,-22.47,-14.41,11.72,93.00,155.98,130.27,48.48,2.72,-4.66,-10.54,-7.48,-3.92,-10.13,-4.05,-21.25,-3.75,6.56,-40.47,29.75,-1.74,9.11,41.83,-24.40,6.50,-9.83,-18.76,-5.32,-15.78,-16.43
BalanceNoncurrentBorrowings_qq,,-3.55,2.21,9.99,-9.92,170.18,0.23,-2.62,2.68,-1.26,7.06,-0.32,1.89,-57.98,25.30,12.18,7.11,-2.27,-1.29,19.27,1.22,36.42,-0.27,4.34,0.33,-25.74,21.46,23.45,822.56,7.82,-5.36,-2.37,4.71,2.73,-4.01,-6.90,17.21,3.29,15.28,25.29,32.67,-1.84,0.31,24.39,-9.40,31.82,11.23,1.08,-14.56,-1.68,5.41,6.93,-3.31,24.82
BalanceNoncurrentBorrowings_sq,,-3.55,2.21,9.99,-9.92,170.18,0.23,-2.62,2.68,-1.26,7.06,-0.32,1.89,-57.98,25.30,12.18,7.11,-2.27,-1.29,19.27,-6.93,-2.40,-1.23,-6.34,0.33,-1.52,-53.23,35.43,34.82,9.74,-2.58,-1.88,-0.60,-1.72,-4.94,-5.50,0.70,-0.62,7.86,-16.16,11.67,5.44,0.31,-8.18,-7.36,6.68,3.85,-17.62,-2.63,-13.20,-7.14,-4.28,-4.47,-4.68
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentOtherLiabilities,1201026000,1283269000,1384308000,1453430000,1496359000,1310723000,1395860000,1385983000,1446079000,1473866000,1404626000,1523141000,1536690000,1514880000,1506018000,1706920000,1574740000,1587130000,1638703000,1828307000,2215438000,2205727000,2418949000,2622257000,2360644000,2238820000,2440818000,2491000000,4472533000,4838597000,4690510000,4616000000,4767000000,4856000000,4378000000,4226000000,4326000000,4649000000,5066000000,6295000000,5905000000,4936000000,5239000000,5283000000,5380000000,5510000000,5280000000,5126000000,5138000000,4990000000,4964000000,4687000000,4788000000,5050000000
BalanceNoncurrentOtherLiabilities_yy,,,,,24.59,2.14,0.83,-4.64,-3.36,12.45,0.63,9.90,6.27,2.78,7.22,12.07,2.48,4.77,8.81,7.11,40.69,38.98,47.61,43.43,6.55,1.50,0.90,-5.01,89.46,116.12,92.17,85.31,6.58,0.36,-6.66,-8.45,-9.25,-4.26,15.71,48.96,36.50,6.17,3.41,-16.08,-8.89,11.63,0.78,-2.97,-4.50,-9.44,-5.98,-8.56,-6.81,1.20
BalanceNoncurrentOtherLiabilities_sy,,,,,24.59,2.14,0.83,-4.64,-3.36,12.45,0.63,9.90,6.27,2.78,7.22,12.07,2.48,4.77,8.81,5.13,40.69,20.94,25.96,28.56,10.94,8.38,5.91,8.14,8.14,5.03,7.71,10.48,8.04,4.28,0.74,-4.61,-9.25,-4.26,1.38,21.40,23.72,6.17,3.41,-4.18,-9.36,-1.62,-1.31,-2.24,-1.18,-6.82,-2.55,-8.56,-6.81,1.20
BalanceNoncurrentOtherLiabilities_qq,,6.85,7.87,4.99,2.95,-12.41,6.50,-0.71,4.34,1.92,-4.70,8.44,0.89,-1.42,-0.58,13.34,-7.74,0.79,3.25,11.57,21.17,-0.44,9.67,8.40,-9.98,-5.16,9.02,2.06,79.55,8.18,-3.06,-1.59,3.27,1.87,-9.84,-3.47,2.37,7.47,8.97,24.26,-6.20,-16.41,6.14,0.84,1.84,2.42,-4.17,-2.92,0.23,-2.88,-0.52,-5.58,2.15,5.47
BalanceNoncurrentOtherLiabilities_sq,,6.85,7.87,4.99,2.95,-12.41,6.50,-0.71,4.34,1.92,-4.70,8.44,0.89,-1.42,-0.58,13.34,-53.87,0.79,3.68,4.14,11.76,3.00,-47.24,6.91,0.18,-0.20,-49.85,2.97,-2.98,0.22,-1.88,8.28,-0.56,1.79,-4.36,-5.48,0.25,0.94,6.62,8.44,,-3.81,-1.13,0.84,0.82,2.12,-2.06,-0.68,-0.26,-1.18,1.80,-5.58,1.81,3.24
BalanceCurrentLiabilities,1978976000,2420652000,2110405000,3160730000,3290808000,6979420000,4238069000,3157365000,2817490000,5698529000,3770695000,2290977000,2081017000,3832782000,2004656000,2167976000,2106759000,4327573000,2933017000,2302604000,2701714000,2974631000,2758179000,3402837000,2908680000,6233727000,3630344000,4432000000,5057295000,9555716000,5855274000,4769000000,4042000000,5614000000,5123000000,4687000000,4621000000,5694000000,6065000000,5552000000,5446000000,5999000000,6421000000,6197000000,6767000000,6609000000,5398000000,5866000000,6133000000,5919000000,5702000000,5459000000,5929000000,5475000000
BalanceCurrentLiabilities_yy,,,,,66.29,188.33,100.82,-0.11,-14.38,-18.35,-11.03,-27.44,-26.14,-32.74,-46.84,-5.37,1.24,12.91,46.31,6.21,28.24,-31.26,-5.96,47.78,7.66,109.56,31.62,30.24,73.87,53.29,61.29,7.60,-20.08,-41.25,-12.51,-1.72,14.32,1.43,18.39,18.46,17.85,5.36,5.87,11.62,24.26,10.17,-15.93,-5.34,-9.37,-10.44,5.63,-6.94,-3.33,-7.50
BalanceCurrentLiabilities_sy,,,,,66.29,188.33,100.82,-0.11,-14.38,-18.35,-11.03,-27.44,-26.14,-32.74,-46.84,-5.37,1.24,12.91,46.31,-7.20,28.24,-37.33,-20.86,53.52,11.32,12.31,29.04,-5.36,1.67,22.51,-1.65,21.50,1.41,11.02,-4.52,20.78,5.75,-7.79,4.88,-0.95,17.85,5.36,5.87,11.62,13.46,3.91,-23.40,9.90,5.82,-3.94,4.38,-0.39,17.98,12.24
BalanceCurrentLiabilities_qq,,22.32,-12.82,49.77,4.12,112.09,-39.28,-25.50,-10.76,102.26,-33.83,-39.24,-9.16,84.18,-47.70,8.15,-2.82,105.41,-32.22,-21.49,17.33,10.10,-7.28,23.37,-14.52,114.31,-41.76,22.08,14.11,88.95,-38.72,-18.55,-15.24,38.89,-8.75,-8.51,-1.41,23.22,6.52,-8.46,-1.91,10.15,7.03,-3.49,9.20,-2.33,-18.32,8.67,4.55,-3.49,-3.67,-4.26,8.61,-7.66
BalanceCurrentLiabilities_sq,,22.32,-12.82,49.77,4.12,112.09,-39.28,-25.50,-10.76,102.26,-33.83,-39.24,-9.16,84.18,-47.70,8.15,-51.41,105.41,-24.76,-35.91,30.78,4.34,-53.64,23.24,-8.56,-0.62,-70.88,-0.74,15.66,30.34,-12.10,-9.24,-1.56,19.31,-9.30,1.88,-5.39,7.53,6.52,1.05,-4.55,10.15,1.24,-0.07,0.95,3.52,-10.10,7.73,-5.84,-0.54,-0.82,12.44,-1.53,3.33
BalanceCurrentTradePayablesv,1011108000,1449733000,1050960000,1376023000,1075004000,3554922000,1305962000,1711160000,1377434000,4917171000,3095190000,1646406000,1627243000,3438566000,1593988000,1756752000,1592326000,3880936000,2383949000,1575896000,1585079000,2191504000,1762150000,1994577000,1824733000,4954438000,1954155000,2249000000,2636372000,8791409000,5082440000,3008000000,2952000000,5002000000,4056000000,3094000000,3057000000,3976000000,3640000000,1209000000,3272000000,3504000000,3583000000,1418000000,1265000000,1199000000,1234000000,1433000000,1354000000,1613000000,1587000000,1823000000,1476000000,1394000000
BalanceCurrentTradePayablesv_yy,,,,,6.32,145.21,24.26,24.36,28.13,38.32,137.00,-3.78,18.14,-30.07,-48.50,6.70,-2.15,12.86,49.56,-10.29,-0.46,-43.53,-26.08,26.57,15.12,126.07,10.90,12.76,44.48,77.45,160.08,33.75,11.97,-43.10,-20.20,2.86,3.56,-20.51,-10.26,-60.92,7.03,-11.87,-1.57,17.29,-61.34,-65.78,-65.56,1.06,7.04,34.53,28.61,27.22,9.01,-13.58
BalanceCurrentTradePayablesv_sy,,,,,6.32,145.21,24.26,24.36,28.13,38.32,137.00,-3.78,18.14,-30.07,-48.50,6.70,-2.15,12.86,49.56,-0.01,-0.46,-21.33,-6.00,37.04,5.51,2.21,15.30,11.16,12.50,14.57,8.27,-8.17,-1.66,-11.08,8.00,2.22,3.56,-12.02,-10.26,-4.86,7.03,18.27,0.91,0.34,-9.25,-0.96,-11.38,9.14,7.33,6.12,10.74,12.08,9.01,12.98
BalanceCurrentTradePayablesv_qq,,43.38,-27.51,30.93,-21.88,230.69,-63.26,31.03,-19.50,256.98,-37.05,-46.81,-1.16,111.31,-53.64,10.21,-9.36,143.73,-38.57,-33.90,0.58,38.26,-19.59,13.19,-8.52,171.52,-60.56,15.09,17.22,233.47,-42.19,-40.82,-1.86,69.44,-18.91,-23.72,-1.20,30.06,-8.45,-66.79,170.64,7.09,2.25,-60.42,-10.79,-5.22,2.92,16.13,-5.51,19.13,-1.61,14.87,-19.03,-5.56
BalanceCurrentTradePayablesv_sq,,43.38,-27.51,30.93,-21.88,230.69,-63.26,31.03,-19.50,256.98,-37.05,-46.81,-1.16,111.31,-53.64,10.21,-54.68,143.73,-30.14,-23.81,47.22,3.58,-59.80,12.38,-2.38,-7.70,-80.28,12.46,11.14,1.08,-13.85,-8.22,-8.52,15.04,3.23,-4.38,-11.41,6.95,13.56,6.28,-10.39,9.81,2.02,-3.60,-5.17,8.62,0.66,12.08,-8.30,-0.09,1.71,14.87,-10.62,9.40
BalanceCurrentBorrowings,288201000,304443000,49475000,48477000,41918000,85656000,45345000,54756000,80012000,78466000,84369000,113201000,117970000,195165000,157367000,192923000,181069000,181325000,210882000,219816000,258488000,100981000,123763000,96162000,61720000,87682000,90011000,104000000,108843000,81463000,90812000,1075000000,92000000,73000000,695000000,1215000000,972000000,1142000000,1949000000,1813000000,1580000000,1850000000,2270000000,2145000000,3006000000,2295000000,1460000000,1559000000,2087000000,1641000000,1435000000,965000000,1673000000,1151000000
BalanceCurrentBorrowings_yy,,,,,-85.46,-71.86,-8.35,12.95,90.88,-8.39,86.06,106.74,47.44,148.73,86.52,70.43,53.49,-7.09,34.01,13.94,42.76,-44.31,-41.31,-56.25,-76.12,-13.17,-27.27,8.15,76.35,-7.09,0.89,933.65,-15.47,-10.39,665.32,13.02,956.52,1464.38,180.43,49.22,62.55,62.00,16.47,18.31,90.25,24.05,-35.68,-27.32,-30.57,-28.50,-1.71,-38.10,-19.84,-29.86
BalanceCurrentBorrowings_sy,,,,,-85.46,-71.86,-8.35,12.95,90.88,-8.39,86.06,106.74,47.44,148.73,86.52,70.43,53.49,-7.09,34.01,-43.03,42.76,-71.03,-68.86,4.38,-65.69,-10.02,247.47,-30.66,38.83,14.34,-50.06,328.08,76.80,33.20,13.68,54.38,14.05,96.14,32.61,-3.09,1.68,62.00,16.47,18.31,33.84,12.32,-8.90,-9.76,-15.21,-17.32,-1.32,-0.95,-19.84,-29.86
BalanceCurrentBorrowings_qq,,5.64,-83.75,-2.02,-13.53,104.34,-47.06,20.75,46.12,-1.93,7.52,34.17,4.21,65.44,-19.37,22.59,-6.14,0.14,16.30,4.24,17.59,-60.93,22.56,-22.30,-35.82,42.06,2.66,15.54,4.66,-25.16,11.48,1083.76,-91.44,-20.65,852.05,74.82,-20.00,17.49,70.67,-6.98,-12.85,17.09,22.70,-5.51,40.14,-23.65,-36.38,6.78,33.87,-21.37,-12.55,-32.75,73.37,-31.20
BalanceCurrentBorrowings_sq,,5.64,-83.75,-2.02,-13.53,104.34,-47.06,20.75,46.12,-1.93,7.52,34.17,4.21,65.44,-19.37,22.59,-53.07,0.14,5.32,-47.88,17.59,-6.38,-38.72,216.63,-21.90,6.08,-48.67,15.54,12.31,75.29,9.74,3.52,17.34,5.50,2.61,64.68,-11.54,17.46,24.16,33.48,8.67,2.21,2.58,9.09,7.95,1.58,-20.30,0.30,16.74,-0.70,-0.28,-32.75,4.26,-0.15
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,679667000,666476000,1009970000,1736230000,2173886000,3338842000,2886762000,1394751000,1363346000,702892000,591136000,531370000,335804000,199051000,253301000,218301000,333364000,265312000,338186000,506892000,858147000,682146000,872266000,1312098000,1022227000,1191607000,1668754000,2079000000,2312080000,682844000,682022000,686000000,998000000,539000000,372000000,378000000,592000000,576000000,476000000,2530000000,594000000,645000000,568000000,2634000000,2496000000,3115000000,2704000000,2874000000,2692000000,2665000000,2680000000,2671000000,2780000000,2930000000
BalanceCurrentOtherLiabilities_yy,,,,,219.85,400.97,185.83,-19.67,-37.29,-78.95,-79.52,-61.90,-75.37,-71.68,-57.15,-58.92,-0.73,33.29,33.51,132.20,157.42,157.11,157.92,158.85,19.12,74.69,91.31,58.45,126.18,-42.70,-59.13,-67.00,-56.84,-21.07,-45.46,-44.90,-40.68,6.86,27.96,569.31,0.34,11.98,19.33,4.11,320.20,382.95,376.06,9.11,7.85,-14.45,-0.89,-7.06,3.27,9.94
BalanceCurrentOtherLiabilities_sy,,,,,219.85,400.97,185.83,-19.67,-37.29,-78.95,-79.52,-61.90,-75.37,-71.68,-57.15,-58.92,-0.73,33.29,33.51,79.59,157.42,73.73,101.76,91.92,54.04,71.82,44.27,-17.77,-5.16,-8.32,-17.50,-29.07,-37.76,-15.78,-19.50,-17.32,-1.26,6.86,27.96,52.16,0.38,11.98,19.33,-0.79,2.40,-13.86,-8.64,1.87,5.53,-7.98,-3.20,-7.06,3.27,9.94
BalanceCurrentOtherLiabilities_qq,,-1.94,51.54,71.91,25.21,53.59,-13.54,-51.68,-2.25,-48.44,-15.90,-10.11,-36.80,-40.72,27.25,-13.82,52.71,-20.41,27.47,49.89,69.30,-20.51,27.87,50.42,-22.09,16.57,40.04,24.58,11.21,-70.47,-0.12,0.58,45.48,-45.99,-30.98,1.61,56.61,-2.70,-17.36,431.51,-76.52,8.59,-11.94,363.73,-5.24,24.80,-13.19,6.29,-6.33,-1.00,0.56,-0.34,4.08,5.40
BalanceCurrentOtherLiabilities_sq,,-1.94,51.54,71.91,25.21,53.59,-13.54,-51.68,-2.25,-48.44,-15.90,-10.11,-36.80,-40.72,27.25,-13.82,-23.65,-20.41,-4.12,38.72,39.82,3.93,-48.21,29.95,-0.05,-0.32,-67.69,-27.03,-2.27,-2.06,-21.24,-4.72,-2.14,0.29,-4.58,1.48,12.04,13.66,0.94,35.88,1.00,7.26,-11.94,-5.53,-3.29,0.98,-9.04,13.51,-3.00,-1.36,-8.21,-0.34,4.08,5.40
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceReckoning_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,9268994000,9883263000,9984955000,11048716000,11551111000,13754250000,12574057000,13224567000,13792070000,14659888000,13897543000,13503398000,14181651000,14865282000,13925324000,15000105000,15181628000,15471974000,14655084000,14890420000,16448152000,17950279000,18992613000,21240729000,22538335000,25152593000,26354610000,30650000000,36280904000,37759422000,34160550000,33962000000,35068000000,36003000000,34844000000,34465000000,35597000000,36474000000,38947000000,40374000000,42781000000,42426000000,42955000000,36764000000,37098000000,38411000000,37891000000,33442000000,33629000000,33501000000,34306000000,34122000000,34904000000,36071000000
BalanceTotalEquityAndLiabilities_yy,,,,,24.62,39.17,25.93,19.69,19.40,6.58,10.53,2.11,2.82,1.40,0.20,11.08,7.05,4.08,5.24,-0.73,8.34,16.02,29.60,42.65,37.03,40.12,38.76,44.30,60.97,50.12,29.62,10.81,-3.34,-4.65,2.00,1.48,1.51,1.31,11.78,17.14,20.18,16.32,10.29,-8.94,-13.28,-9.46,-11.79,-9.04,-9.35,-12.78,-9.46,2.03,3.79,7.67
BalanceTotalEquityAndLiabilities_sy,,,,,24.62,39.17,25.93,19.69,19.40,6.58,10.53,2.11,2.82,1.40,0.20,11.08,7.05,4.08,5.24,24.14,8.34,26.34,20.39,28.58,36.82,44.80,21.80,25.02,29.32,26.19,17.98,7.06,-1.30,-3.02,-18.76,-15.63,-4.46,-5.38,6.66,10.87,10.35,8.20,1.03,-16.51,-14.49,-12.09,-12.83,-0.22,-0.70,-6.56,-4.67,4.95,6.17,10.76
BalanceTotalEquityAndLiabilities_qq,,6.63,1.03,10.65,4.55,19.07,-8.58,5.17,4.29,6.29,-5.20,-2.84,5.02,4.82,-6.32,7.72,1.21,1.91,-5.28,1.61,10.46,9.13,5.81,11.84,6.11,11.60,4.78,16.30,18.37,4.08,-9.53,-0.58,3.26,2.67,-3.22,-1.09,3.28,2.46,6.78,3.66,5.96,-0.83,1.25,-14.41,0.91,3.54,-1.35,-11.74,0.56,-0.38,2.40,-0.54,2.29,3.34
BalanceTotalEquityAndLiabilities_sq,,6.63,1.03,10.65,4.55,19.07,-8.58,5.17,4.29,6.29,-5.20,-2.84,5.02,4.82,-6.32,7.72,-49.40,1.91,10.52,0.84,12.24,5.64,-48.62,7.45,3.54,4.98,-50.16,6.91,6.91,4.08,-1.97,-4.20,0.38,0.97,-7.56,-4.93,-2.42,-1.41,6.49,1.50,0.03,-0.83,-1.92,-15.04,0.05,1.50,-0.60,4.04,-1.99,0.26,1.88,-0.54,2.29,3.34
CashflowOperatingCashflow,66097000,701835000,803929000,1142798000,337211000,695673000,853243000,931790000,1005009000,808145000,1273349000,1593626000,518278000,748745000,826899000,865803000,1077753000,132812000,559349000,950835000,733968000,1451261000,1650002000,1826044000,1559253000,2571407000,2706709000,2260631000,2440000000,97000000,1470000000,1514000000,1711000000,1395000000,549000000,1269000000,1757000000,738000000,964000000,1390000000,1208000000,1221000000,964000000,770000000,584000000,747000000,949000000,1932000000,458000000,734000000,546000000,1316000000,-11000000,715000000
CashflowOperatingCashflow_yy,,,,,410.18,-0.88,6.13,-18.46,198.04,16.17,49.24,71.03,-48.43,-7.35,-35.06,-45.67,107.95,-82.26,-32.36,9.82,-31.90,992.72,194.99,92.05,112.44,77.18,64.04,23.80,56.49,-96.23,-45.69,-33.03,-29.88,1338.14,-62.65,-16.18,2.69,-47.10,75.59,9.54,-31.25,65.45,,-44.60,-51.66,-38.82,-1.56,150.91,-21.58,-1.74,-42.47,-31.88,-102.40,-2.59
CashflowOperatingCashflow_sy,,,,,410.18,-0.88,6.13,-18.46,198.04,16.17,49.24,71.03,-48.43,-7.35,-35.06,-45.67,107.95,-82.26,7.60,-1.52,117.30,425.60,-7.65,122.46,86.97,34.48,-39.38,6.82,-18.64,23.18,-9.11,-40.42,-32.04,2.07,-62.20,-5.00,14.76,-47.10,-5.48,0.61,1.48,65.45,,54.20,-37.13,-26.35,-46.97,61.73,39.48,14.42,11.98,2.73,-76.32,35.14
CashflowOperatingCashflow_qq,,961.83,14.55,42.15,-70.49,106.30,22.65,9.21,7.86,-19.59,57.56,25.15,-67.48,44.47,10.44,4.70,24.48,-87.68,321.16,69.99,-22.81,97.73,13.69,10.67,-14.61,64.91,5.26,-16.48,7.93,-96.02,1415.46,2.99,13.01,-18.47,-60.65,131.15,38.46,-58.00,30.62,44.19,-13.09,1.08,-21.05,-20.12,-24.16,27.91,27.04,103.58,-76.29,60.26,-25.61,141.03,-100.84,6600.00
CashflowOperatingCashflow_sq,,961.83,14.55,42.15,-70.49,106.30,22.65,9.21,7.86,-19.59,57.56,25.15,-67.48,44.47,10.44,-2.22,-3.98,0.20,174.48,-46.34,-33.35,159.71,46.67,-10.48,-12.04,12.00,-19.14,12.14,1.40,-13.30,233.85,-15.28,-28.70,-3.28,-8.62,3.31,4.00,-2.46,40.26,44.19,-13.09,7.36,-20.04,-12.09,-27.34,14.06,24.69,43.72,-34.40,-39.00,147.44,71.76,-83.96,319.49
CashflowAmortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,913000000,287000000,488000000,502000000,447000000,368000000,326000000,449000000,437000000,401000000,392000000,403000000,439000000,564000000,380000000,530000000,469000000,397000000,413000000,431000000,457000000,371000000,401000000,383000000,454000000,350000000,514000000
CashflowAmortization_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51.04,28.22,-33.20,-10.56,-2.24,8.97,20.25,-10.24,0.46,40.65,-3.06,31.51,6.83,-29.61,8.68,-18.68,-2.56,-6.55,-2.91,-11.14,-0.66,-5.66,28.18
CashflowAmortization_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.63,24.88,2.85,-11.32,-35.35,-33.69,-36.33,-23.36,-15.24,-13.26,-22.74,-8.31,-11.39,-24.72,-8.35,-18.68,-11.79,-6.55,-6.10,-11.14,1.76,2.10,26.75
CashflowAmortization_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-68.57,70.03,2.87,-10.96,-17.67,-11.41,37.73,-2.67,-8.24,-2.24,2.81,8.93,28.47,-32.62,39.47,-11.51,-15.35,4.03,4.36,6.03,-18.82,8.09,-4.49,18.54,-22.91,46.86
