,IncomeRevenues,IncomeCostOfSales,IncomeDistributionExpenses,IncomeAdministrativExpenses,IncomeGrossProfit,IncomeOtherOperatingIncome,IncomeOtherOperatingCosts,IncomeEBIT,IncomeFinanceIncome,IncomeFinanceCosts,IncomeOtherIncome,IncomeNetGrossProfit,IncomeExtraordinarProfit,IncomeBeforeTaxProfit,IncomeDiscontinuedProfit,IncomeNetProfit,IncomeShareholderNetProfit,BalanceNoncurrentAssets,BalanceIntangibleAssets,BalanceProperty,BalanceNoncurrentReceivables,BalanceNoncurrInvestments,BalanceOtherNoncurrentAssets,BalanceCurrentAssets,BalanceInventory,BalanceCurrentReceivables,BalanceCurrentInvestments,BalanceCash,BalanceOtherCurrentAssets,BalanceAssetsForSale,BalanceTotalAssets,BalanceCapital,BalanceShareCapital,BalanceOwnShares,BalanceReserve,BalanceNonshareCapital,BalanceNoncurrentLiabilities,BalanceNoncurrentTradeLiabilities,BalanceNoncurrentBorrowings,BalanceNoncurrentObligations,BalanceNoncurrentLeasing,BalanceNoncurrentOtherLiabilities,BalanceCurrentLiabilities,BalanceCurrentTradePayablesv,BalanceCurrentBorrowings,BalanceCurrentObligations,BalanceCurrentLeasing,BalanceCurrentOtherLiabilities,BalanceReckoning,BalanceTotalEquityAndLiabilities,CashflowOperatingCashflow,CashflowAmortization,CashflowInvestingCashflow,CashflowCapex,CashflowFinancingCashflow,CashflowShareCapitalCash,CashflowDividend,CashflowNetCashflow,QuoteCurrent,ShareAmountCurrent,WKCurrent,CWKCurrent,WKGrahamCurrent,CWKGrahamCurrent,PCurrent,CPCurrent,ZCurrent,CZCurrent,ZOCurrent,CZOCurrent,EVCurrent,EVPCurrent,EVEBITCurrent,EVEBITDACurrent,DTAR,CG,LDER,PZAT,PELDR,TSF,ZKO,OSF,NetDebt,NetDebtEBITDA,DebtFin,DebtFinEBITDA,SP1,SP2,CAR,QR,CR,PP,RCLR,KP,PKKO,RN,CRN,CPZ,RZ,CRZ,RMO,RMT,RM,COP,CSP,Price
R22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAF,23869000.0,16740000.0,1141000.0,5965000.0,1228000.0,187000.0,60000.0,-896000.0,-318000.0,204000.0,,1768000.0,,1768000.0,,1384000.0,1384000.0,84890000.0,1083000.0,92925000.0,501000.0,326000.0,74149000.0,11544000.0,78156000.0,79000.0,1848000.0,6928000.0,117435000.0,79848000.0,43187000.0,,44650000.0,,32281000.0,,10482000.0,,,28426000.0,30940000.0,8083000.0,,,31316000.0,137000.0,159915000.0,,,,8879000.0,1755000.0,-4111000.0,1847000.0,1742000.0,41825000.0,813000.0,-1916000.0,12200.0,4318701000.0,19720.0,620.0,760.0,16100.0,25590.0,480.0,570.0,21230.0,3980.0,3060.0,13940.0,540.0,3500.0,2500.0,450.0,830.0,300.0,2750.0,1350.0,710.0,960.0,990.0,59297000000.0,2460.0,7509000000.0,310.0,1040.0,1350.0,220.0,1420.0,1640.0,240.0,1170.0,180.0,470.0,1900.0,192000.0,170000.0,8680.0,42000.0,1450.0,1390.0,710.0,234000.0,64000.0,17.554502886002883
RBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBW,45324000.0,44294000.0,6342000.0,1726000.0,-7038000.0,2054000.0,233000.0,-5217000.0,2379000.0,3749000.0,,648000.0,,648000.0,4114000.0,2767000.0,2625000.0,26536000.0,15587000.0,7153000.0,540000.0,101000.0,11852000.0,4000.0,59412000.0,0.0,87873000.0,8706000.0,,255155000.0,111847000.0,1455000.0,19096000.0,591000.0,731000.0,,2341000.0,,567000.0,185000.0,13775000.0,5561000.0,,,16004000.0,,195564000.0,,,,707000.0,104000.0,1949000.0,59000.0,-384000.0,0.0,0.0,-6694000.0,17100.0,12052000000.0,1420.0,12080.0,310.0,54590.0,23680.0,720.0,90.0,180460.0,-80.0,64590.0,17220.0,730.0,-205280.0,-443460.0,690.0,2300.0,30.0,4180.0,1270.0,310.0,910.0,1130.0,34937000000.0,-74650.0,1450000000.0,-3100.0,1230.0,1270.0,110.0,1110.0,1110.0,110.0,850.0,80.0,20.0,6550.0,56000.0,60000.0,9686000.0,0.0,5450.0,21560.0,4350.0,,,4.362148629148629
RDL,12250000.0,8756000.0,1165000.0,1640000.0,689000.0,863000.0,-17000.0,1569000.0,5000.0,184000.0,-4000.0,3126000.0,,3126000.0,,2913000.0,2913000.0,80327000.0,13673000.0,120584000.0,47000.0,4000.0,11997000.0,13790000.0,30608000.0,64000.0,5573000.0,1305000.0,983000.0,6605000.0,719000.0,-2753000.0,76452000.0,392000.0,61208000.0,,586000.0,,,7877000.0,5703000.0,3702000.0,20371000.0,,2996000.0,8998000.0,181232000.0,,,,3880000.0,1147000.0,721000.0,648000.0,-686000.0,0.0,0.0,4559000.0,1380.0,23951610000.0,2500.0,550.0,190.0,7100.0,2190.0,630.0,220.0,6200.0,300.0,4530.0,1440.0,660.0,4730.0,2950.0,270.0,370.0,120.0,7170.0,1340.0,820.0,830.0,900.0,16506000000.0,1410.0,1487000000.0,130.0,1090.0,1220.0,370.0,660.0,1800.0,370.0,690.0,150.0,410.0,4580.0,80000.0,123000.0,2700.0,135000.0,1890.0,950.0,630.0,215000.0,92000.0,6.250090909090908
RDN,86316000.0,145141000.0,,,3401000.0,2574000.0,4966000.0,1009000.0,1043000.0,3259000.0,-1233000.0,-205000.0,-21000.0,1394000.0,,1261000.0,1858000.0,44566000.0,68000.0,37493000.0,2348000.0,10820000.0,113901000.0,91285000.0,27642000.0,5000.0,8491000.0,15578000.0,148269000.0,60545000.0,26938000.0,,52002000.0,6808000.0,4378000.0,15110000.0,11068000.0,,810000.0,149532000.0,104288000.0,40893000.0,,,15388000.0,211911000.0,302785000.0,,,,10399000.0,1571000.0,-2451000.0,2553000.0,-858000.0,0.0,0.0,14746000.0,880.0,26938020000.0,2490.0,350.0,980.0,900.0,10940.0,80.0,-640.0,3730.0,-820.0,1540.0,990.0,90.0,-1210.0,-1670.0,550.0,1210.0,340.0,870.0,2220.0,610.0,760.0,1250.0,55094000000.0,-3470.0,2857000000.0,-180.0,1650.0,2220.0,450.0,730.0,1850.0,450.0,270.0,330.0,-8119.0,15160.0,24000.0,95000.0,2270.0,161000.0,2720.0,7210.0,1970.0,196000.0,117000.0,2.464214323688008
REG,33084000.0,33969000.0,-41000.0,2641000.0,-2631000.0,4781000.0,2978000.0,-813000.0,602000.0,3856000.0,-295000.0,-1681000.0,,-1681000.0,-89000.0,-1803000.0,-1791000.0,43941000.0,26000.0,14000.0,149000.0,330000.0,26961000.0,1377000.0,1330000.0,69000.0,3570000.0,,268921000.0,-92654000.0,23731000.0,,56933000.0,15000.0,1000.0,7170000.0,,,3091000.0,108211000.0,4403000.0,41312000.0,,,12690000.0,,24850000.0,,,,-10980000.0,1480000.0,596000.0,-367000.0,6454000.0,0.0,,66000.0,100.0,93100000.0,-609700.0,0.0,-1613500.0,10.0,2162640.0,0.0,-1208740.0,0.0,-884160.0,0.0,1015150.0,470.0,-1150.0,-1230.0,1330.0,-4010.0,-730.0,2200.0,-160.0,-90.0,2950.0,-1790.0,222330000000.0,-2900.0,94501000000.0,-1230.0,-610.0,-160.0,10.0,240.0,410.0,30.0,210.0,-640.0,-610.0,3440.0,106000.0,303000.0,6690.0,55000.0,2070.0,1860.0,980.0,161000.0,-142000.0,1.3710880230880231
RES,8836000.0,8351000.0,187000.0,847000.0,68000.0,304000.0,110000.0,-719000.0,136000.0,71000.0,0.0,-1127000.0,,-433000.0,985000.0,897000.0,897000.0,7094000.0,48000.0,2093000.0,19000.0,60000.0,22481000.0,407000.0,2231000.0,13600000.0,130000.0,93000.0,26297000.0,12267000.0,1445000.0,5964000.0,14337000.0,0.0,146000.0,,356000.0,,,10602000.0,11630000.0,84000.0,,,515000.0,1000.0,2544000.0,,,,-39000.0,434000.0,2287000.0,-661000.0,9881000.0,-1000.0,0.0,-30000.0,280.0,13134545000.0,830.0,340.0,290.0,950.0,2120.0,130.0,-240.0,3340.0,-200.0,47150.0,210.0,100.0,-1080.0,-1720.0,460.0,910.0,70.0,6440.0,1740.0,540.0,720.0,1000.0,8832000000.0,-5410.0,-873000000.0,530.0,1390.0,1490.0,110.0,1270.0,1520.0,110.0,1350.0,220.0,180.0,2320.0,158000.0,134000.0,56510.0,6000.0,1900.0,2700.0,1120.0,164000.0,30000.0,14.172639553429027
RFK,259880000.0,237348000.0,5334000.0,8673000.0,8525000.0,425000.0,-4795000.0,13745000.0,4722000.0,-727000.0,,17208000.0,,17208000.0,-46296000.0,31921000.0,31269000.0,268869000.0,12585000.0,171776000.0,39116000.0,25550000.0,307344000.0,46552000.0,219100000.0,2514000.0,55932000.0,21389000.0,536524000.0,336168000.0,139200000.0,,280375000.0,12193000.0,63184000.0,40872000.0,3340000.0,,26101000.0,394703000.0,480844000.0,302085000.0,,,135969000.0,534000.0,1340721000.0,,,,18123000.0,2901000.0,-5287000.0,1893000.0,3224000.0,0.0,0.0,-61010000.0,2070.0,69600000000.0,5220.0,400.0,2380.0,870.0,13800.0,150.0,540.0,3820.0,770.0,2700.0,1330.0,100.0,1730.0,1380.0,520.0,1140.0,70.0,6650.0,2820.0,490.0,710.0,1230.0,159384000000.0,2380.0,-51565000000.0,-770.0,1720.0,1840.0,170.0,880.0,1490.0,660.0,600.0,240.0,230.0,5420.0,67000.0,159000.0,18840.0,19000.0,1660.0,4280.0,1190.0,86000.0,-73000.0,9.610759018759019
RHD,7000000.0,,,,865000.0,-9000.0,-51000.0,-1292000.0,-7694000.0,,-3188000.0,,-3188000.0,,-3188000.0,-3188000.0,,63000.0,40182000.0,7559000.0,0.0,,81800000.0,66450000.0,883000.0,,35000.0,,312545000.0,-26944000.0,22147000.0,,35085000.0,,12832000.0,101907000.0,,,,53683000.0,1312000.0,2237000.0,,23999000.0,10546000.0,69377000.0,,,,,-55855000.0,55000.0,2709000.0,,3395000.0,,,-17000.0,270.0,7000000000.0,12440.0,20.0,12250.0,20.0,1390.0,190.0,-1670.0,,-2020.0,,31940.0,23040.0,-15790.0,-15210.0,760.0,3160.0,50.0,30.0,82090.0,250.0,760.0,49410.0,62926000000.0,-17590.0,53955000000.0,-15080.0,64810.0,67880.0,60.0,400.0,1330.0,60.0,410.0,250.0,166940.0,90.0,4015000.0,5578000.0,,,30.0,14670.0,30.0,,,7.39961038961039
RLP,17340000.0,12235000.0,216000.0,3221000.0,-436000.0,79000.0,800000.0,-1157000.0,530000.0,1181000.0,,-1466000.0,,-1466000.0,,-2021000.0,-2258000.0,36391000.0,7950000.0,33177000.0,161000.0,1865000.0,62893000.0,17753000.0,25015000.0,4000.0,1543000.0,2109000.0,109742000.0,55692000.0,48046000.0,,13412000.0,1390000.0,7148000.0,5857000.0,140000.0,,5184000.0,18736000.0,9574000.0,2629000.0,,,5078000.0,95000.0,102985000.0,,,,2459000.0,1280000.0,1400000.0,639000.0,-3803000.0,2501000.0,317000.0,-106000.0,7000.0,9609193000.0,6480.0,1080.0,2170.0,3220.0,6790.0,1030.0,-1160.0,2460.0,-350.0,1230.0,7340.0,1080.0,-21140.0,39110.0,300.0,440.0,80.0,6550.0,1560.0,730.0,570.0,820.0,13046000000.0,7230.0,3298000000.0,1830.0,1440.0,1560.0,300.0,1220.0,2130.0,640.0,570.0,280.0,540.0,4410.0,83000.0,140000.0,2600.0,140000.0,1210.0,1410.0,650.0,223000.0,83000.0,4.151235209235209
RMK,52213000.0,44104000.0,,5250000.0,2859000.0,1100000.0,606000.0,3353000.0,-338000.0,55000.0,-19000.0,2505000.0,,2505000.0,,2263000.0,2263000.0,21816000.0,124000.0,18903000.0,,91000.0,1803000.0,52840000.0,125000.0,36452000.0,,7147000.0,9116000.0,,73360000.0,42025000.0,7500000.0,,30433000.0,,3180000.0,232000.0,255000.0,,,5771000.0,84865000.0,58219000.0,17071000.0,,,19298000.0,17308000.0,71754000.0,-13961000.0,640000.0,-709000.0,711000.0,-7000.0,,0.0,7620000.0,8080.0,3000000000.0,14340.0,560.0,7060.0,1140.0,86100.0,90.0,3970.0,2040.0,4810.0,1680.0,2000.0,20.0,410.0,350.0,590.0,1420.0,80.0,5270.0,3430.0,450.0,740.0,1460.0,42649000000.0,2520.0,-18249000000.0,-1080.0,1970.0,2140.0,320.0,930.0,1430.0,320.0,720.0,240.0,110.0,4300.0,85000.0,119000.0,781120.0,0.0,2430.0,12240.0,2029.0,96000.0,8000.0,34.06231168831168
RNK,30143000.0,,,,13126000.0,-14202000.0,3271000.0,-4347000.0,7287000.0,3319000.0,,-379000.0,,-379000.0,,-2303000.0,-2270000.0,377334000.0,296000.0,525778000.0,25484000.0,30115000.0,49850000.0,175757000.0,106500000.0,51976000.0,,,380942000.0,898338000.0,445340000.0,3718000.0,-223000.0,161486000.0,,452600000.0,,326072000.0,,,23490000.0,2960000.0,130373000.0,,,30641000.0,,820224000.0,,,25121000.0,564000.0,-12250000.0,50000.0,3048000.0,0.0,11144000.0,-32669000.0,1770.0,32501920000.0,6380.0,280.0,-9620.0,,4480.0,400.0,2270.0,780.0,3030.0,580.0,12540.0,2800.0,4140.0,4050.0,670.0,2100.0,1110.0,1570.0,1160.0,680.0,3520.0,1940.0,433070000000.0,4300.0,350127000000.0,3480.0,550.0,1160.0,20.0,170.0,600.0,20.0,150.0,-130.0,36970.0,4650.0,79000.0,517000.0,,,1170.0,390.0,220.0,,,
RON,38358000.0,25770000.0,1114000.0,4208000.0,7266000.0,6273000.0,1821000.0,11718000.0,467000.0,1282000.0,,1577000.0,,1577000.0,,1261000.0,1261000.0,21099000.0,,16343000.0,,16240000.0,12535000.0,664028000.0,44310000.0,18670000.0,116570000.0,,,747827000.0,451307000.0,12503000.0,-140854000.0,0.0,72176000.0,,113754000.0,,,12879000.0,306189000.0,37646000.0,9933000.0,56778000.0,57627000.0,56743000.0,649235000.0,,,,-582000.0,96000.0,-1488000.0,8102000.0,-26140000.0,71577000.0,0.0,-7397000.0,1050.0,226966667000.0,1680.0,620.0,1620.0,650.0,510.0,2050.0,90.0,11330.0,120.0,8560.0,1870.0,3650.0,15230.0,15030.0,490.0,940.0,300.0,90.0,35550.0,670.0,500.0,13570.0,298059000000.0,10560.0,185893000000.0,6590.0,27400.0,35550.0,260.0,340.0,2950.0,260.0,80.0,650.0,6360.0,5300.0,69000.0,907000.0,120.0,3016000.0,170.0,15300.0,170.0,3085000.0,2178000.0,1.701401875901876
RPC,70518000.0,71961000.0,2963000.0,5331000.0,-9737000.0,574000.0,416000.0,-9579000.0,1530000.0,-1215000.0,217000.0,-6408000.0,,-6408000.0,0.0,-3978000.0,-3852000.0,172934000.0,492000.0,205232000.0,4944000.0,7057000.0,159707000.0,60252000.0,67181000.0,5364000.0,5678000.0,2171000.0,308151000.0,199849000.0,11515000.0,-806000.0,212445000.0,,88536000.0,0.0,50298000.0,,33803000.0,83366000.0,30676000.0,42948000.0,,22000.0,8422000.0,212565000.0,447296000.0,,,,2876000.0,2294000.0,4990000.0,5469000.0,-674000.0,348000.0,0.0,13411000.0,28400.0,4605980000.0,44720.0,640.0,-13000.0,2290.0,68170.0,420.0,-4540.0,20590.0,-1690.0,21230.0,51660.0,760.0,-30560.0,197630.0,510.0,1090.0,380.0,3280.0,1030.0,640.0,1360.0,1010.0,219878000000.0,182620.0,107140000000.0,88990.0,740.0,1030.0,40.0,650.0,1130.0,40.0,600.0,40.0,70.0,3370.0,108000.0,206000.0,3200.0,114000.0,1680.0,1170.0,690.0,222000.0,16000.0,15.985640692640693
RWD,23212000.0,17994000.0,1775000.0,9915000.0,1443000.0,684000.0,8715000.0,-6588000.0,1236000.0,2142000.0,,7825000.0,,7825000.0,268000.0,478000.0,489000.0,80492000.0,17369000.0,73310000.0,,7282000.0,689000.0,5005000.0,23060000.0,570000.0,4797000.0,738000.0,90000.0,70016000.0,-15272000.0,51000000.0,17657000.0,3458000.0,23910000.0,,11020000.0,,,6676000.0,54102000.0,2474000.0,10160000.0,,2964000.0,91000.0,168865000.0,,,,48000.0,587000.0,1250000.0,-1684000.0,198000.0,,1911000.0,483000.0,90.0,2550000000.0,27020.0,0.0,7150.0,10.0,40740.0,0.0,30.0,3480.0,970.0,90.0,7630.0,190.0,7890.0,2860.0,410.0,740.0,180.0,2970.0,1490.0,650.0,740.0,930.0,44691000000.0,6580.0,19219000000.0,2830.0,1270.0,1490.0,150.0,640.0,1780.0,170.0,460.0,250.0,440.0,4840.0,75000.0,127000.0,1710.0,213000.0,1460.0,2110.0,860.0,288000.0,161000.0,2.133591630591631
RWL,118474000.0,83224000.0,27955000.0,11914000.0,-4619000.0,6762000.0,11255000.0,-9112000.0,3529000.0,4288000.0,0.0,-9871000.0,0.0,-9871000.0,,4496000.0,3475000.0,321188000.0,70780000.0,251534000.0,2470000.0,1206000.0,404561000.0,187276000.0,140337000.0,1854000.0,20154000.0,,,868846000.0,30335000.0,32560000.0,279076000.0,16324000.0,80541000.0,,121327000.0,,,15837000.0,366210000.0,36808000.0,167156000.0,,996000.0,8515000.0,750678000.0,,,,20187000.0,5650000.0,316000.0,4718000.0,-21365000.0,0.0,147000.0,2125000.0,8700.0,32560000000.0,8480.0,1030.0,-1620.0,4230.0,16270.0,530.0,-290.0,611820.0,340.0,25640.0,15350.0,940.0,45220.0,14140.0,550.0,1310.0,610.0,1560.0,1310.0,680.0,1170.0,940.0,351187000000.0,9940.0,216411000000.0,6120.0,800.0,1290.0,50.0,590.0,1600.0,60.0,570.0,180.0,350.0,4059.0,90000.0,158000.0,1670.0,219000.0,1500.0,1470.0,740.0,309000.0,151000.0,13.168727994227995
SAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEK,37888000.0,29577000.0,5469000.0,578000.0,2264000.0,177000.0,195000.0,2246000.0,176000.0,-104000.0,0.0,49000.0,,49000.0,,11000.0,11000.0,33492000.0,88000.0,33311000.0,5000.0,46000.0,157000.0,26708000.0,14095000.0,11962000.0,,854000.0,283000.0,,95737000.0,47401000.0,665000.0,,44745000.0,,18862000.0,7499000.0,12714000.0,,,10328000.0,28600000.0,21641000.0,4491000.0,,,979000.0,941000.0,99382000.0,-622000.0,739000.0,-2527000.0,377000.0,-2865000.0,0.0,,509000.0,9250.0,6650000000.0,7350.0,1260.0,2320.0,3990.0,17220.0,540.0,600.0,15460.0,690.0,13470.0,7400.0,430.0,10770.0,6610.0,340.0,500.0,100.0,6710.0,1630.0,730.0,620.0,900.0,12351000000.0,1660.0,-12297000000.0,-1650.0,1460.0,1610.0,620.0,1720.0,2040.0,620.0,1130.0,280.0,230.0,7010.0,52000.0,46000.0,14860.0,25000.0,3310.0,3570.0,1720.0,77000.0,31000.0,9.11188888888889
SEL,161302000.0,115550000.0,27497000.0,18363000.0,-108000.0,2601000.0,18972000.0,-16479000.0,2175000.0,2824000.0,299000.0,-7372000.0,,-7372000.0,,-6576000.0,-6562000.0,228146000.0,23909000.0,185508000.0,1396000.0,6089000.0,15338000.0,315022000.0,110782000.0,146807000.0,2545000.0,54015000.0,1780000.0,,771234000.0,347470000.0,1136000.0,,492801000.0,757000.0,54747000.0,,31124000.0,,,23623000.0,368260000.0,141757000.0,170552000.0,,,55951000.0,,806996000.0,11403000.0,5117000.0,-7770000.0,6889000.0,-3090000.0,0.0,0.0,1990000.0,10500.0,22724000000.0,14760.0,710.0,4760.0,2210.0,28190.0,370.0,710.0,14740.0,1260.0,8300.0,11080.0,390.0,8760.0,5600.0,380.0,610.0,270.0,2050.0,1870.0,790.0,650.0,960.0,124473000000.0,2770.0,13200000000.0,290.0,1470.0,1870.0,650.0,1950.0,2770.0,700.0,1250.0,370.0,490.0,4410.0,83000.0,66000.0,4720.0,77000.0,1980.0,3420.0,1250.0,160000.0,94000.0,14.384085137085137
SEN,0.0,0.0,,2044000.0,-2044000.0,,120000.0,-2163000.0,428000.0,4793000.0,-2039000.0,-26143000.0,,-26143000.0,,6319000.0,365000.0,247572000.0,299561000.0,836809000.0,,234000.0,,57598000.0,50625000.0,,52834000.0,6121000.0,,438141000.0,12895000.0,1404779000.0,13325000.0,65251000.0,315106000.0,,11904000.0,,,213905000.0,205634000.0,7733000.0,10551000.0,,,2982000.0,683207000.0,,,,-6390000.0,120000.0,-12108000.0,29000.0,14266000.0,-2836000.0,,-45846000.0,790.0,200491549000.0,890.0,880.0,-290.0,17320.0,0.0,4369720.0,-170.0,10400.0,-70.0,7410.0,880.0,4369720.0,-13080.0,-13410.0,260.0,360.0,0.0,494630.0,1180.0,850.0,12330.0,9300.0,21565000000.0,-4660.0,6487000000.0,-1400.0,750.0,750.0,40.0,80.0,80.0,40.0,50.0,-240.0,175540.0,30.0,14352000.0,58562000.0,,,0.0,0.0,0.0,,,
SES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SFG,68381000.0,37742000.0,12501000.0,10459000.0,7678000.0,-1582000.0,6816000.0,-719000.0,2075000.0,238000.0,275000.0,30875000.0,,30875000.0,,6288000.0,6811000.0,59844000.0,1811000.0,80106000.0,1057000.0,1692000.0,179061000.0,69917000.0,53510000.0,0.0,104176000.0,1670000.0,,222834000.0,85750000.0,-1849000.0,61908000.0,38534000.0,55000.0,,,,,50955000.0,44296000.0,883000.0,,,22461000.0,,230801000.0,,,,-4708000.0,1984000.0,3845000.0,-1861000.0,-2379000.0,-1397000.0,16723000.0,6139000.0,12150.0,1333333333000.0,100.0,125950.0,80.0,160120.0,230.0,53260.0,-10.0,1125250.0,10.0,1020800.0,12130.0,53150.0,1018720.0,626340.0,260.0,460.0,10.0,34200.0,2230.0,580.0,370.0,770.0,4505000000.0,720.0,-8033000000.0,-1280.0,2100.0,2120.0,700.0,1460.0,2790.0,700.0,870.0,460.0,630.0,5530.0,66000.0,95000.0,1990.0,184000.0,1670.0,4450.0,1210.0,250000.0,155000.0,3.2557215007215006
SFS,37313000.0,54073000.0,,3962000.0,-5808000.0,4243000.0,6009000.0,-6260000.0,429000.0,2238000.0,-49000.0,-4898000.0,,-888000.0,,-874000.0,-3061000.0,66940000.0,6368000.0,55304000.0,1830000.0,0.0,1694000.0,19623000.0,2448000.0,8894000.0,0.0,7298000.0,,,69348000.0,-54562000.0,26516000.0,,136125000.0,1268000.0,88830000.0,,67223000.0,2195000.0,4346000.0,157693000.0,12182000.0,95696000.0,,255000.0,4954000.0,346000.0,127113000.0,,2260000.0,2596000.0,-2659000.0,670000.0,21980000.0,-1000.0,126000.0,830000.0,880.0,9280951000.0,-8830.0,140.0,-15620.0,,18690.0,50.0,-7090.0,910.0,-4420.0,1400.0,15110.0,810.0,-3420.0,-5830.0,1870.0,-2040.0,-70.0,9370.0,-1130.0,-850.0,7400.0,-9060.0,161445000000.0,-6710.0,132085000000.0,-5490.0,-1220.0,-1140.0,40.0,120.0,140.0,40.0,90.0,-1550.0,-800.0,11220.0,33000.0,271000.0,77390.0,5000.0,6530.0,1990.0,1530.0,38000.0,-233000.0,10.918624819624819
SGN,154864000.0,120557000.0,7326000.0,23876000.0,3105000.0,1244000.0,1796000.0,2553000.0,637000.0,2660000.0,38000.0,-11690000.0,,-11690000.0,,-12363000.0,-12343000.0,219528000.0,201111000.0,9431000.0,1230000.0,17205000.0,172527000.0,32022000.0,198226000.0,8503000.0,5873000.0,13927000.0,513141000.0,214113000.0,15082000.0,217601000.0,3115000.0,63606000.0,,41319000.0,39870000.0,11579000.0,483878000.0,97985000.0,13285000.0,,,8132000.0,634645000.0,415419000.0,,,,,67126000.0,8420000.0,4841000.0,1599000.0,14753000.0,25000.0,-80000.0,9430000.0,3100.0,11886242000.0,22560.0,140.0,1950.0,1590.0,47390.0,70.0,-8790.0,4730.0,-8720.0,1820.0,2950.0,60.0,-340.0,-510.0,470.0,910.0,30.0,2950.0,1240.0,530.0,910.0,1030.0,169309000000.0,-2450.0,-1751000000.0,30.0,1130.0,1150.0,310.0,950.0,1130.0,310.0,730.0,60.0,60.0,2910.0,125000.0,146000.0,21430.0,17000.0,2070.0,2130.0,1000.0,142000.0,-4000.0,13.309457431457432
SGR,11222000.0,15027000.0,1266000.0,522000.0,-5592000.0,-5906000.0,-714000.0,5780000.0,1468000.0,2278000.0,,12735000.0,,12735000.0,,12306000.0,12306000.0,93136000.0,1524000.0,84825000.0,,12724000.0,2362000.0,157189000.0,103280000.0,13950000.0,356000.0,36771000.0,,350407000.0,243779000.0,1335000.0,,86029000.0,69000.0,,6000.0,,,32082000.0,66762000.0,28265000.0,16211000.0,,,383000.0,,311614000.0,,,-4104000.0,2668000.0,-798000.0,991000.0,-24292000.0,,17866000.0,-25048000.0,120.0,32314260000.0,2300.0,50.0,-560.0,,1180.0,100.0,-740.0,30.0,-640.0,50.0,1080.0,920.0,-1680.0,-3450.0,470.0,880.0,350.0,3440.0,1080.0,710.0,1380.0,1100.0,21003000000.0,-5900.0,10895000000.0,-3060.0,800.0,1080.0,0.0,690.0,1200.0,140.0,340.0,60.0,200.0,2800.0,130000.0,379000.0,2450.0,149000.0,800.0,410.0,270.0,279000.0,-100000.0,
SHD,,,,,-1899000.0,101747000.0,85904000.0,13944000.0,398000.0,4628000.0,9827000.0,-146000.0,,-146000.0,,-215000.0,1429000.0,499868000.0,32012000.0,290739000.0,586000.0,2140000.0,16328000.0,159135000.0,26787000.0,22283000.0,48433000.0,69033000.0,5554000.0,,465646000.0,331921000.0,11133000.0,-725000.0,254634000.0,-96000.0,220000.0,33650000.0,15218000.0,,69591000.0,327320000.0,12692000.0,93376000.0,,,23758000.0,115000.0,667096000.0,,6284000.0,3227000.0,6103000.0,,-6408000.0,40160000.0,,48203000.0,1030.0,120328705000.0,2730.0,380.0,-1800.0,770.0,0.0,4800.0,310.0,3370.0,360.0,2880.0,2350.0,-1510.0,6560.0,5440.0,430.0,840.0,430.0,3680.0,810.0,730.0,4630.0,2630.0,258982000000.0,4990.0,158501000000.0,3050.0,570.0,810.0,130.0,370.0,440.0,130.0,240.0,-120.0,8680.0,1140.0,320000.0,472000.0,,,130.0,50.0,40.0,,,2.901930014430014
