,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
EVEBITDACurrent_yy,,,,,-1065.44,-456.61,-148.64,-89.44,596.16,589.97,710.68,-228.56,-111.63,-114.43,-94.15,190.46,123.93,114.21,-31.25,-52.67,61.90,-10149.18,191.89,247.69,-325.59,93.61,-148.59,-234.62,7.06,17.21,-63.93,-87.04,207.29,176.69,170.21,166.34,-207.74,-409.48,-446.73,-821.86,-420.25,-481.64,-32.18,19.28,87.30,95.71,81.02
EVEBITDACurrent_sy,,,,,16.29,-50.13,-58.55,-32.74,-25.54,61.67,176.83,-12.35,-87.62,-165.48,-4.01,-19.98,1532.27,259.54,-5.17,65.58,-27.49,-20.86,11.11,114.60,31.25,13.64,-14.86,-5.84,7.29,25.00,-104.00,47.29,-24.44,51.12,2868.39,-14.90,-2.71,-42.73,7.35,19.51,41.67,33.92,11.14,-10.85,-20.42,-22.68,-17.36
EVEBITDACurrent_qq,,370.56,601.75,-45.18,-211.97,17.21,4.28,111.91,5158.86,-18.24,19.30,-102.51,-375.86,-1.41,148.40,-61.27,25.86,-39.77,134.18,-73.34,330.50,-3838.75,106.80,-68.24,-379.32,-5.90,48.27,12.02,-92.83,5.66,-2.43,-0.38,210.62,-32.57,-6.23,-5.15,-279.64,-93.70,-5.06,-97.46,-29.47,-116.56,76.13,-20.59,79.63,26.87,-5.67
EVEBITDACurrent_sq,,62.07,-21.07,-40.88,53.77,-30.50,-34.40,-4.06,70.24,50.89,12.33,-69.63,-75.95,-898.12,264.66,-74.68,390.51,-21.99,-2.13,-55.78,114.80,-14.86,37.40,-14.60,31.38,-26.28,2.95,-5.55,49.68,-14.11,-103.29,3582.12,-23.22,71.80,-39.73,7.04,-12.23,1.12,12.98,19.17,4.05,-4.41,-6.24,-4.41,-7.12,-7.12,0.21
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,,,,,-103.66,-116.55,-264.89,,317.39,167.46,109.68,,-562.00,-470.18,3826.67,,210.82,378.20,-60.78,,23.24,-106.05,-26.41,,-89.06,300.00,-105.29,,828.99,293.66,6622.22,609.62,-184.09,-215.92,-198.64,-220.87,74.03,95.68,59.41,46.86,-73.57,-817.86,-27.23,39.66,-308.64,-266.93,-374.25
ROE_sy,,,,,-3.19,-20.73,-32.80,,-82.44,-83.33,-89.60,,-211.33,-61.67,221.15,,230.27,689.66,24.75,,10.67,-35.37,-54.40,,-30.81,-61.37,-82.98,,-17.41,21.28,-123.71,-66.31,-22.44,-9.86,2756.52,590.43,170.10,190.13,191.33,89.83,-24.37,16.08,-34.21,34.01,5.32,16.71,57.56
ROE_qq,,-18.77,-90.79,,,-267.39,8.28,,,14.00,-86.84,,,8.66,239.57,,,129.30,-80.32,,,-111.25,339.44,,,105.80,-106.34,677.78,1132.69,-12.79,5.01,-37.14,-246.07,-20.22,10.65,22.97,68.61,80.00,-739.29,-0.85,-2.53,-5.76,-16.34,52.17,-594.41,5.04,-50.37
ROE_sq,,-19.33,30.01,,,-33.94,10.21,,,-37.29,-31.28,,,121.59,475.86,,,30.86,-9.02,,,-23.58,-35.81,,,-57.34,-71.72,187.63,137.99,-37.35,-105.53,508.70,447.87,-27.18,62.93,6.22,114.33,-21.78,63.60,-30.79,-14.61,20.06,-7.28,40.99,-32.89,33.03,25.17
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,,,,-101.68,-113.12,-176.39,,261.90,144.21,112.73,,-723.53,-526.19,4242.86,,219.81,463.13,-58.55,,25.98,-105.08,-39.68,,-88.75,315.15,-106.58,,847.22,304.23,6080.00,592.31,-173.90,-227.53,-203.68,-225.00,71.83,95.90,57.42,40.44,-87.32,-860.00,-25.00,39.55,-292.48,-232.64,-312.12
ROA_sy,,,,,-1.33,-23.91,-13.75,,-79.87,-82.91,-85.71,,-181.56,-54.50,139.53,,302.74,639.58,66.50,,-34.80,-70.99,-69.39,,-40.93,-30.58,-90.95,,11.40,34.97,-231.58,-68.48,13.39,15.03,1528.00,415.38,83.33,133.78,128.01,132.84,-15.34,16.76,-27.64,39.58,11.41,32.67,34.13
ROA_qq,,-42.17,-90.06,,,-352.38,42.11,,,23.53,-83.33,,,15.57,269.83,,,155.91,-80.62,,,-110.31,330.30,,,97.22,-107.04,620.00,1211.54,-15.84,4.18,-39.80,-240.00,-45.24,15.30,27.42,68.44,78.87,-780.00,-1.52,0.75,-8.27,-14.58,50.91,-544.44,8.24,-41.96
ROA_sq,,-9.93,-13.99,,,-30.54,-2.51,,,-41.06,-18.48,,,132.88,329.17,,,19.93,-3.38,,,-46.63,1.94,,,-37.28,-86.71,768.42,53.94,-24.02,-112.95,308.00,453.85,-22.92,60.81,-24.93,97.01,-1.70,56.84,-23.34,-28.37,35.57,-2.81,47.88,-42.82,61.45,-1.74
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,,,,-152.67,-228.70,-638.13,250.47,123.92,114.01,109.11,893.54,,13899.73,-16446.53,-309.48,,-87.15,104.50,108.36,-87.23,-101.30,-49.89,-77.47,-141.34,-773.00,-219.34,-368.10,-6.17,-42.77,3.13,-27.62,293.58,289.54,364.89,255.59,-350.25,-125.38,-108.63,-103.70,98.34,92.64,33.08,-50.13,-2380.19,-8836.21,-2009.98
