,2008/Q4,2009/Q4,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS_yy,,-6.30,-79.63,,516.75,,,15.82,-12.34,-22.27,-24.49,-5.56,-0.35,-5.77,-15.51,-36.67,-33.21,-24.95,-9.23,14.48,28.19,34.27,31.25,22.97,3.42,-38.14,-55.28,-46.60,-46.74,30.21,115.66
RS_sy,,-36.34,-10.04,,59.16,,,-19.22,-41.30,-57.52,-56.86,-42.88,-23.24,11.32,24.17,6.27,16.11,-5.08,-8.72,1.84,16.99,21.42,20.22,12.79,3.58,18.56,5.91,18.61,2.96,-2.94,6.93
RS_qq,,,,,18.58,10.78,-1.33,-10.65,-10.25,-1.77,-4.14,11.75,-5.30,-7.10,-14.05,-16.24,-0.13,4.39,3.95,5.64,11.83,9.34,1.61,-1.03,-5.94,-34.60,-26.53,18.16,-6.18,59.89,21.67
RS_sq,,,,,-3.73,11.95,-6.71,-19.65,-30.05,-18.98,-5.26,6.39,-6.01,17.50,5.67,-8.95,2.70,-3.95,1.62,1.59,17.97,-0.31,0.62,-4.69,8.34,14.12,-10.12,6.74,-5.95,7.57,-0.98
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,92.08,-65.03,,138.57,,,68.46,4.43,-5.18,-9.07,-13.33,9.57,3.07,-8.90,-24.34,-31.50,-27.14,-17.06,-0.75,39.29,25.64,26.52,27.89,-25.28,-40.51,-49.39,-58.25,-71.09,-7.34,31.31
GPM_sy,,-25.51,-9.02,,58.85,,,-21.73,-23.78,-35.93,-53.90,-25.91,-27.05,-24.30,6.12,6.56,2.84,-6.05,-2.82,-7.50,28.18,57.14,41.67,30.27,24.78,3.48,-11.14,3.16,-26.25,-11.46,10.73
GPM_qq,,,,,33.75,13.39,2.18,8.71,-17.09,2.96,-2.01,3.62,4.81,-3.15,-13.38,-13.95,-5.11,3.02,-1.40,2.98,33.17,-7.08,-0.71,4.09,-22.20,-26.01,-15.53,-14.14,-46.12,137.12,19.71
GPM_sq,,,,,-12.39,23.78,6.32,-32.11,-14.68,4.04,-23.51,9.11,-15.99,7.95,7.24,9.57,-18.92,-1.38,10.92,4.29,12.35,20.91,,-4.10,7.62,0.26,-14.13,11.33,-23.06,20.37,7.39
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,21.34,-32.96,,48.82,,,8.09,-4.32,-8.44,-6.23,3.97,6.79,3.23,-2.04,-14.05,-12.23,-8.62,-3.84,6.59,8.66,9.53,10.90,7.14,0.89,-13.50,-20.06,-14.94,-11.97,12.41,26.54
RBS_sy,,6.08,-4.91,,-16.02,,,-23.53,-4.63,-16.57,-5.78,55.02,8.33,-20.45,-22.03,-31.57,0.59,28.80,26.41,8.27,8.05,14.52,19.67,17.64,-9.08,-11.77,-26.09,-10.89,-0.22,-4.49,15.05
RBS_qq,,,,,8.64,6.00,-1.63,-4.58,-3.84,1.42,0.75,5.81,-1.23,-1.96,-4.40,-7.16,0.87,2.08,0.60,2.91,2.83,2.89,1.86,-0.58,-3.18,-11.78,-5.87,5.79,0.21,12.65,5.96
RBS_sq,,,,,-15.95,16.15,-9.92,-13.04,4.81,1.62,1.73,43.08,-26.76,-25.38,-0.29,25.58,7.67,-4.46,-2.14,7.55,7.45,1.26,2.26,5.73,-16.96,-1.73,-14.34,27.48,-7.02,-5.94,3.19
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-14.23,-46.89,,281.38,,,,-11.65,-31.66,-42.79,,-17.38,-16.37,-16.46,-27.81,-34.30,-19.21,-10.74,4.38,47.62,34.36,37.04,29.09,-25.47,-50.57,-63.29,-56.84,-64.63,26.79,138.96
