,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROE_yy,,133.25,,,,1756.72,1822.58,1087.04,,-500.00,-591.86,-168.33,,122.39,115.90,221.92,,-98.03,-166.60,-262.30,,-28550.00,-831.40,-269.12,,75.32,103.03,153.41,,167.06,-268.66,83.44,76.75,-179.44,-626.69,-252.63,-76.89,-73.21,87.17,,,,,105.65,107.66,107.34
ROE_sy,,192.30,,,,13.19,195.47,-13.05,,-57.87,-76.61,-93.08,,-42.69,-47.35,164.66,,-64.50,191.65,-10.51,,318.58,10.92,171.43,,-2.80,-36.70,44.21,,-1.44,-45.01,-58.23,-17.58,9.02,155.07,70.10,205.11,-23.71,-33.21,,,,,63.00,249.21,-53.87
ROE_qq,,,-7.46,30.65,,,-4.18,-19.34,,,-17.83,88.79,,,-16.29,-14.10,,,-2922.73,-109.34,,,7.59,17.04,,,111.36,1360.40,-237.59,129.38,-128.57,1688.34,-117.44,-0.37,-161.36,-233.61,79.79,1.72,80.64,,1.23,4.28,-2.15,105.85,33.94,-8.30
ROE_sq,,,-218.48,188.57,,,-0.06,-19.34,,,-44.53,-76.14,,,-49.05,19.93,,,318.58,-63.20,,,10.92,-9.95,,,-27.76,105.16,-77.86,200.37,-59.70,55.82,-56.31,297.33,-5.70,3.91,-21.63,-0.66,-17.45,,-46.87,48.69,22.54,68.39,13.82,-80.36
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,132.48,,,,1258.43,1298.82,1192.45,,-230.52,-167.54,-132.26,,155.01,195.27,226.70,,-98.27,-151.63,-235.00,,-17933.33,-431.14,-131.08,,81.76,103.43,82.37,,117.01,-868.06,2363.96,-711.28,-1955.42,-641.41,-296.89,-74.78,-76.95,87.12,,,,,105.28,107.07,106.41
ROA_sy,,286.79,,,,52.59,171.00,-20.76,,-61.56,-68.02,-95.26,,-59.84,-82.56,-119.28,,-8.75,134.53,975.00,,170.96,60.43,368.57,,-40.95,7.46,-40.85,,3.77,-25.62,47.68,-35.41,22.11,34.21,-2.09,202.54,-11.62,16.58,,,,,49.07,101.37,-140.76
ROA_qq,,,-4.49,24.71,,,-1.65,15.22,,,49.11,44.96,,,-11.87,-26.80,,,-2733.33,-91.39,,,21.57,16.73,,,114.75,-527.78,36.69,142.56,-766.27,1360.94,-122.69,2.65,-166.23,-234.85,79.86,1.45,80.62,,0.11,0.70,-2.89,105.17,33.73,-9.91
ROA_sq,,,-306.71,162.99,,,-3.82,-29.70,,,-19.98,-89.59,,,-65.25,-111.51,,,-10.68,-57.06,,,-47.12,25.43,,,-3.77,-30.96,-21.39,98.69,-31.02,37.08,-65.62,275.63,-24.19,,6.24,9.73,,,-9.32,152.05,-12.50,-25.47,22.50,-151.02
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-109.24,,,,,4860.22,,,,-101.68,,,,127.65,119.92,-78.58,-46.40,-108.43,-216.76,-657.92,-1335.91,-8013.33,-475.58,-167.17,87.21,80.14,40.77,-318.53,,,,,,,,,,81.09,,,,,52.60,95.86,89.66
OPM_sy,,-15.87,,,,,165.96,,,,-67.03,,,,117.33,617.51,3362.50,-104.73,-107.18,-101.43,-95.19,937.69,122.22,-272.73,14362.50,-105.88,8155.00,6704.88,-5.58,,,,,,,,,,93.37,,,,,-13.65,-30.27,-95.86
OPM_qq,,,332.00,-473.28,150.14,,,,,,,112.22,299.58,-41.04,-3.96,-2.81,-61.08,47.52,-115.10,-1246.67,-85.97,-226.80,0.87,4.46,13.68,84.36,-53.93,-184.97,-509.97,,,,,,,52.62,58.47,28.30,-34.03,,-454.11,61.24,-0.22,77.98,51.63,3.14
