,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
RS_sq,,,,,47.70,-17.33,25.09,2.87,37.05,-25.41,-2.72,-20.45,2.64,-1.20,3.12,-0.34,4.56,23.91,2.48,0.76,6.44,12.81,-7.26,3.63,27.79,-1.28,-30.18,14.53,-16.27,30.31,-19.88,3.23,-21.03,9.59,7.78
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-97.16,1078.26,,150.55,,,-14.38,30.34,27.23,71.32,119.85,-37.74,-42.25,-65.61,-74.91,-42.83,-49.03,-37.63,-72.66,-126.03,-148.11,-126.16,-988.61,-291.46,-157.48,-201.61,153.70,195.64,176.15,193.58,-54.91,-48.53,-14.86,46.29
GPM_sy,,-35.67,-0.81,,-15.04,,,-20.88,52.87,-40.47,-41.30,-20.17,-44.76,-10.76,46.58,81.47,-6.80,11.91,-0.89,9.51,20.36,22.65,9.42,-10.06,-17.93,-35.48,-41.91,-26.74,17.54,23.10,-8.29,10.29,-15.05,-2.10,18.08
GPM_qq,,,,,10.95,3.83,-8.51,-18.76,68.89,1.36,23.19,4.25,-52.17,-5.99,-26.64,-23.95,9.00,-16.19,-10.23,-66.67,-203.80,-54.88,51.18,-1032.26,54.27,-1.87,42.81,301.60,-18.57,-18.89,-29.72,-2.86,-7.06,34.18,20.75
GPM_sq,,,,,11.17,47.49,-15.17,-43.12,114.79,-42.57,-16.35,-22.64,48.63,-7.22,37.40,-4.22,-23.67,11.40,21.69,5.83,-16.10,13.51,8.57,-13.01,-23.44,-10.77,-2.24,9.70,22.83,-6.54,-27.17,31.92,-5.39,7.70,-12.16
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,,,,,,,,,,,,-19.70,278.02,140.25,115.55,-10.99,40.10,142.30,312.04,,,,,,,,,,,,,,,
RBS_sy,,,,,,,,,,,,,-18.58,-8.27,2.50,-5.35,3.93,17.33,-2.59,-9.10,,,,,,,,,,,,,,,
RBS_qq,,,,,,,,,,-144.94,-323.93,-153.87,116.60,-0.36,-4.16,-1.91,-4.97,56.83,65.75,66.81,,,,,,,,,,,,,,,
RBS_sq,,,,,,,,,,-12.95,-8.92,12.41,-8.64,-1.93,1.78,3.79,0.32,10.71,-15.50,-3.14,,,,,,,,,,,,,,,
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-57.91,407.08,,81.76,,,,-46.04,-30.16,-1.80,,-5.96,-4.46,-43.06,,-47.87,-63.03,-65.46,-90.25,-99.82,-110.86,-93.02,-1952.54,-59500.00,-1155.81,-1744.44,178.41,221.55,214.63,271.28,-44.57,-28.95,-3.07,18.74
