,2006/Q4,2007/Q4,2008/Q4,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA_sy,,-16.13,-39.99,,,1.32,,-7.86,,-10.31,-2.97,-2.75,,-8.15,15.17,20.87,,47.02,3.20,-23.27,16.08,-29.42,-20.04,-2.83,33.33,58.55,62.31,32.66,4.30,-26.81,-58.06,-46.88,-57.20,-44.30,9.45,-20.00,-38.55,-43.84,-49.40,-17.86
ROA_qq,,,,,,,-5.77,-0.78,,,-16.88,5.52,,,11.14,-42.93,129.73,18.24,-6.14,14.31,-34.93,-13.78,-38.84,31.98,-46.08,-16.46,15.15,-130.26,104.35,-2850.00,-243.64,-205.29,-23.74,-58.12,26.48,56.14,19.51,140.96,21.67,34.25
ROA_sq,,,,,,,-2.10,4.29,,,5.92,4.53,,,32.81,9.70,-33.61,52.01,-6.78,-18.44,0.43,-7.58,5.62,-0.89,37.81,9.90,8.12,-18.99,8.35,-22.88,-38.04,2.61,-12.70,0.36,21.74,-25.00,-32.94,-8.28,9.68,21.76
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-20.06,-11.10,,,-1.58,,-14.30,-8.73,-32.57,-44.37,-43.74,-56.87,-27.98,-14.64,-26.19,79.03,71.25,92.34,135.71,-9.46,-19.33,-43.93,-27.18,-35.07,-34.05,-5.92,-86.61,-46.36,-83.17,-151.80,-1199.03,-706.43,-2177.27,-246.18,123.23,124.50,123.25,146.64,100.76
OPM_sy,,-12.71,1.85,,,-22.86,,-33.88,-32.27,-25.88,7.32,4.21,42.94,55.16,25.73,29.87,9.17,12.34,7.97,-22.62,-25.47,-31.19,-19.34,25.78,21.00,27.71,14.67,-5.81,-11.66,-17.62,-8.25,-6.44,4.83,-35.85,-29.84,-38.37,-36.10,-6.86,-10.04,13.70
OPM_qq,,,,,0.08,-6.19,-2.37,-6.50,6.58,-30.70,-19.45,-5.45,-18.29,15.73,-4.53,-18.25,98.21,10.70,7.22,0.19,-23.86,-1.37,-25.47,30.12,-32.12,0.19,6.31,-81.47,171.84,-68.57,-427.27,-293.06,-50.00,-7.66,45.46,126.38,58.17,2.16,9.41,13.55
OPM_sq,,,,,-16.15,-7.80,-20.66,7.78,-14.10,0.90,14.88,4.66,17.82,9.52,-6.91,8.10,-0.95,12.70,-10.53,-22.52,-4.60,4.04,4.88,20.82,-8.22,9.82,-5.83,-0.76,-13.93,2.42,4.87,1.20,-3.56,-37.33,14.71,-11.11,,-8.65,10.79,12.35
ROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROS_yy,,-22.35,6.05,,,2.85,,-5.90,-0.49,-22.79,-41.27,-36.68,-54.25,-35.64,-15.03,-45.21,47.22,57.64,57.26,146.08,-14.51,-20.71,-48.67,-33.90,-43.63,-56.36,-25.37,-121.11,-97.89,-155.68,-275.25,-1108.77,-24785.71,-2038.10,-330.32,29.83,56.08,109.93,115.49,141.68
