,2008/Q4,2009/Q4,2010/Q4,2011/Q4,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-96.49,2347.62,-45.72,,,46.59,,61.24,247.31,68.22,117.37,53.85,-30.65,-18.02,-38.15,-27.50,7.14,-16.49,2.90,46.55,57.71,32.91,51.30,-48.38,-65.92,-3.04,-15.31,70.94
GPM_sy,,-55.32,134.55,69.42,,,-47.17,,-24.50,164.93,120.70,87.34,69.47,-8.28,-11.92,-18.81,-7.09,-13.47,-9.69,0.82,7.56,25.58,28.84,32.36,-27.89,-36.31,-17.86,-13.75,42.81
GPM_qq,,,,,,-27.91,119.89,-18.34,24.55,55.29,6.50,5.52,-11.85,-30.00,25.89,-20.39,3.34,3.45,-1.88,-1.91,47.19,11.32,-17.31,11.66,-49.79,-26.50,135.27,-2.47,1.35
GPM_sq,,,,,,-49.55,44.24,0.50,3.23,77.04,20.16,-14.69,-6.62,-4.18,15.40,-21.36,6.85,-10.76,20.44,-12.22,14.00,4.19,23.57,-9.81,-37.90,-7.97,59.36,-5.30,2.83
RBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBS_yy,,-46.41,83.36,16.75,,,39.13,,37.13,41.84,9.13,4.70,18.32,9.12,11.16,8.12,-0.98,-11.26,-9.85,-2.63,-0.11,34.51,36.52,27.49,19.11,-3.07,-17.07,-19.59,-14.19
RBS_sy,,0.36,15.14,-1.23,,,-2.66,,-8.77,5.80,-2.83,5.74,7.17,-1.15,11.16,14.80,19.76,17.11,-2.06,-8.67,-7.21,6.14,18.13,17.41,4.94,-9.94,-9.36,-9.90,-1.77
RBS_qq,,,,,,3.17,30.08,5.27,-2.93,6.71,0.08,1.00,9.69,-1.58,1.95,-1.76,0.46,-11.80,3.57,6.11,3.05,18.77,5.12,-0.91,-3.72,-3.35,-10.07,-3.93,2.75
RBS_sq,,,,,,-6.36,8.97,-7.71,-3.13,8.60,0.08,0.44,-1.82,0.17,12.54,3.73,2.42,-2.04,-5.88,-3.27,4.05,12.04,4.75,-3.85,-7.00,-3.84,5.42,-4.43,1.38
ROPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROPA_yy,,-84.08,486.44,-6.74,,,-24.48,,-38.61,85.87,36.94,87.03,139.65,-23.14,-15.18,-29.65,-18.17,-22.20,-19.79,-11.22,23.11,55.51,21.59,22.20,-59.63,-66.12,-21.74,-4.35,135.07
ROPA_sy,,-68.41,200.59,32.78,,,-24.24,,-5.92,67.80,51.96,11.49,6.62,-11.17,-0.77,0.40,28.42,-9.97,-18.75,-14.08,-27.57,-21.03,0.64,3.67,-7.01,3.84,0.32,1.36,-8.98
ROPA_qq,,,,,,-23.62,14.76,-0.82,-29.38,131.25,-15.46,35.46,-9.51,-25.84,-6.70,12.37,5.24,-29.48,-3.81,24.38,45.93,-10.92,-24.80,25.00,-51.79,-25.25,73.73,52.78,18.48
ROPA_sq,,,,,,-17.76,-3.22,30.33,-9.31,46.69,-12.36,-4.38,-13.27,22.20,-2.10,-3.24,10.93,-14.33,-11.64,2.32,-6.48,-6.59,12.60,5.40,-16.11,4.31,8.78,6.49,-24.67
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,101.65,2665.68,40.93,,,-321.57,,-57.69,148.22,143.87,-45.02,118.11,103.97,-36.53,308.92,147.98,-32.13,-52.17,-85.61,-56.63,872.83,-281.53,124.88,-10.52,-95.56,138.71,33.66,53.22
ZNPO_sy,,-32.85,137.20,17.19,,,-60.05,,-30.33,32.56,103.63,6.95,9.48,26.06,-24.31,-11.87,46.71,-29.31,-7.91,1.96,-36.13,-48.28,27.80,6.43,41.59,158.25,-1.31,10.10,13.20
ZNPO_qq,,,,,,-226.65,-57.09,183.78,-74.61,44.33,42.92,5.00,0.70,34.98,-55.53,576.48,-38.93,-63.06,-68.66,103.45,84.10,728.66,-105.85,352.03,-26.75,-58.89,-48.99,770.28,-16.03
ZNPO_sq,,,,,,-37.75,-17.74,68.82,-19.40,18.44,26.36,-11.34,-17.49,36.38,-24.13,3.24,37.35,-34.29,-1.16,14.30,-13.96,-46.79,144.23,-4.81,14.46,-2.95,-6.67,6.20,17.69
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,131.26,-84.88,-340.28,,,1356.70,,-76.74,-89.46,-90.39,-80.83,320.69,3810.02,62.65,-1336.30,-527.29,-94.32,-73.65,114.53,109.25,-36386.02,-197.93,-2.01,4001.42,100.57,164.53,153.70,-95.28
ZFI_sy,,27.88,-40.80,-11.30,,,23.65,,-29.43,7.45,22.34,123.63,23.37,2.31,-16.53,-42.86,-4.87,-8.36,-2.02,109.76,34.28,-14.16,3.15,-35.66,-15.61,19.20,20.95,71.33,17.07
ZFI_qq,,,,,,70.61,123.22,-68.72,-80.47,-22.70,103.43,-37.57,328.52,618.49,-91.54,-574.49,-48.11,109.54,-60.71,161.60,-5.67,-37528.02,99.89,361.76,3848.23,-94.81,-87.98,929.12,-26.61
ZFI_sq,,,,,,-11.79,-18.45,-47.99,88.61,34.30,-7.15,-4.92,4.06,11.38,-24.25,-34.91,73.23,7.30,-19.01,39.35,10.89,-31.41,-2.68,-13.08,45.44,-3.11,-1.25,23.13,-0.62
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,-1.72,9.29,-6.67,,,-27.40,,8.27,-8.17,3.34,-5.71,-26.67,-1.70,1.23,3.18,10.90,49.02,12.17,15.04,6.90,-16.75,-10.89,-2.11,4.06,4.53,26.99,12.15,3.61
DTAR_sy,,-11.34,13.88,-13.55,,,10.77,,13.97,8.03,-9.64,1.30,11.14,22.69,17.13,12.43,15.49,2.44,6.66,7.60,2.89,-1.21,1.77,-5.13,-2.10,-13.15,-27.64,-25.74,-2.89
