,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
PELDR_qq,,,,10.72,-18.37,22.90,3.43,-4.27,-4.15,-0.21,4.57,-0.73,-14.79,-12.97,21.74,0.64,-9.11,12.20,0.54,2.94,-3.59,2.25,-9.14
PELDR_sq,,,,-1.50,-1.70,-5.26,5.23,-2.11,-0.71,7.52,-6.58,-0.84,2.48,-5.39,0.35,-1.75,3.25,-0.52,-2.51,2.96,1.42,5.12,-7.49
TSF,,,,,,,,,,,,,,,,,,,,,,,
TSF_yy,,-0.82,,,-23.44,,20.67,22.92,29.33,15.98,5.53,7.84,-10.05,-14.82,-8.60,-14.43,-5.88,4.55,-10.48,-4.11,-2.92,5.10,2.18
TSF_sy,,5.25,,,0.26,,6.07,-0.04,1.45,-4.12,-0.75,-0.04,1.43,-0.53,-8.92,-3.04,1.07,3.73,9.94,4.03,-4.21,-6.24,-6.01
TSF_qq,,,,0.42,-2.40,3.14,19.38,2.30,2.69,-7.51,8.62,4.54,-14.35,-12.42,16.56,-2.12,-5.80,-2.71,-0.19,4.84,-4.63,5.32,-2.97
TSF_sq,,,,3.79,-3.24,6.65,-0.97,-2.19,-1.80,0.79,2.52,-1.50,-0.35,-1.15,-6.13,4.86,3.87,1.45,-0.51,-0.77,-4.36,-0.70,-0.26
ZKO,,,,,,,,,,,,,,,,,,,,,,,
ZKO_yy,,-11.01,,,-24.51,,-4.52,28.29,11.98,28.80,36.14,11.55,12.18,36.42,-3.05,3.01,0.02,-23.92,-19.88,-15.21,-20.17,0.20,16.63
ZKO_sy,,1.92,,,-0.61,,-6.13,-6.76,-1.25,-16.37,6.79,10.78,13.32,28.98,16.78,12.40,0.83,3.36,18.67,2.70,8.60,-1.32,-15.66
ZKO_qq,,,,-19.71,26.19,-22.28,21.25,7.89,10.14,-10.60,28.16,-11.60,10.76,8.72,-8.92,-6.07,7.54,-17.30,-4.08,-0.60,1.25,3.79,11.65
ZKO_sq,,,,-2.40,2.56,5.81,-11.37,-3.07,8.63,-10.39,13.17,0.56,11.12,1.99,2.46,-3.21,-0.32,4.55,17.64,-16.23,5.41,-5.01,0.55
OSF,,,,,,,,,,,,,,,,,,,,,,,
OSF_yy,,-16.01,,,-9.15,,2.24,1.85,7.92,0.63,19.55,6.03,-5.39,-9.97,-22.51,-13.94,-7.46,-0.30,1.16,3.21,0.33,2.14,0.47
OSF_sy,,-4.40,,,0.71,,-8.18,-3.24,1.24,4.87,7.48,4.84,-0.63,-4.01,-4.52,-5.75,-4.10,-1.37,2.38,0.92,-5.78,-1.11,-1.96
OSF_qq,,,,3.14,-1.54,2.88,-2.14,2.75,4.32,-4.07,16.27,-8.87,-6.92,-8.71,0.07,1.21,0.09,-1.65,1.54,3.26,-2.70,0.12,-0.12
OSF_sq,,,,-3.03,2.69,-2.79,-5.15,2.19,7.44,0.71,-2.80,-0.32,1.83,-2.72,-3.32,-1.60,3.61,0.06,0.36,-3.01,-3.27,5.03,-0.50
