,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ZNPO_sy,,-91.24,,,597.75,,31.95,206.10,-15.93,17.42,21.03,62.89,-19.09,-67.54,81.53,-41.27,-44.53,-39.64,-81.66,5.51,175.30,376.24,1034.11,115.11,-6.23,94.47,-29.23,-31.95,-12.38,-13.66,9.76
ZNPO_qq,,,,19.44,-101.31,125.94,-180.72,-88.06,5115.87,-20.13,-2.18,144.03,-111.51,50.47,109.02,4925.81,-129.14,-1865.42,66.76,173.33,2801.17,-154.42,140.48,363.76,-112.69,-67.90,67.09,18.53,118.33,-451.63,-1313.40
ZNPO_sq,,,,-21.79,444.80,-37.10,-50.77,81.43,49.64,-12.15,-49.26,144.19,-25.68,-64.76,183.80,-21.00,-29.79,-61.65,-13.75,354.40,83.18,-33.66,105.39,-13.82,-20.14,37.57,-25.26,-17.12,2.82,35.55,-4.98
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,,,,,,,,,,,,,,,-95.58,-98.78,-63.75,-66.98,3426.95,325.88,771.45,6581.44,19.78,-23.70,-28.77,-75.20,-49.62,,,
ZFI_sy,,,,,,,,,,,,,,,,-5.70,33.82,94.24,54.70,5.64,-10.04,-19.46,-0.92,-7.12,-1.32,-15.28,2.41,-12.52,,,
ZFI_qq,,,,,,,,,,,,,1926.57,-97.86,-57.54,-75.98,460.49,-36.60,-61.32,2466.02,-32.32,29.73,196.56,-54.00,-56.89,21.12,3.25,-6.54,,,
ZFI_sq,,,,,,,,,,,,,-15.79,-15.50,-12.66,51.73,19.51,22.65,-30.44,3.61,1.78,9.80,-14.43,-2.87,8.13,-5.73,3.43,-17.03,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,10.68,,,-36.88,,-4.88,-17.15,2.78,-0.91,0.97,17.90,-21.62,-20.31,-5.98,5.90,19.26,38.18,29.06,19.78,74.71,16.28,7.83,6.02,-15.55,4.46,9.19,2.61,-27.82,-30.67,-33.86
DTAR_sy,,-22.21,,,-14.81,,19.03,58.49,22.94,39.40,19.01,12.24,-23.94,-22.08,-19.29,-7.74,5.44,-7.43,-4.50,3.18,-8.56,-2.96,-15.38,-26.67,-8.37,-11.30,-1.73,-2.77,-0.65,-19.39,-19.75
