,2008/Q4,2009/Q4,2010/Q4,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROPA_yy,,12.16,93.57,,,9.97,,-6.11,,-5.09,-14.21,-4.28,,-7.19,-17.62,-14.42,-13.42,-0.10,27.58,15.07,8.88,-19.82,-14.44,-29.18,-34.24,-91.19,-103.19,-105.82,-78.18,-47.22,233.33,-452.50
ROPA_sy,,-0.96,-14.62,,,,,-68.23,,-13.33,22.68,82.73,,1.49,-11.11,5.12,2.26,35.35,45.08,13.11,17.68,-19.06,-12.29,6.46,-5.32,-4.78,-7.57,-25.58,-10.41,-17.69,-7.67,20.17
ROPA_qq,,,,,,,-5.18,-6.28,,,-14.29,4.56,-0.91,4.51,-23.92,8.63,0.24,20.59,-2.85,-2.02,-5.15,-11.20,3.67,-18.89,-11.94,-88.10,-137.50,-48.15,430.00,-71.21,-5.26,-713.89
ROPA_sq,,,,,,,-27.71,-37.88,,,2.33,-7.47,4.53,2.54,-10.38,9.43,1.69,35.73,-3.93,-14.69,5.79,-6.65,4.11,3.54,-5.91,-6.12,1.06,-16.64,13.27,-13.75,13.37,8.49
ZNPO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZNPO_yy,,146.25,-239.12,,,442.60,,-159.69,-417.37,-31.96,80.02,-547.06,87.01,-173.71,167.38,106.92,138.74,127.03,5.65,24.19,281.51,73.31,-42.35,-10.82,-79.83,-98.25,-88.85,-251.63,-687.10,26849.17,6734.12,596.59
ZNPO_sy,,7.55,31.13,,,23.17,,148.11,-39.59,13.56,103.40,105.65,395.38,-36.82,36.94,6.64,-0.15,33.97,-28.11,-19.58,-40.73,-27.08,24.28,32.59,62.10,7.94,-27.00,-56.13,-61.41,4.57,-8.49,111.12
ZNPO_qq,,,,,30.13,77.45,-236.26,81.03,-591.91,138.04,-140.01,-514.37,86.11,-115.82,136.58,-36.89,-22.25,50.57,43.00,-25.81,138.84,-31.60,-52.43,14.77,-45.98,-94.06,202.76,-1660.58,-109.18,372.67,-23.22,13.40
ZNPO_sq,,,,,92.07,191.51,-65.68,29.11,-53.23,447.94,-38.53,30.54,12.66,-30.12,33.24,1.66,5.49,-6.24,-28.50,13.72,-22.26,15.36,21.85,21.33,-4.95,-23.18,-17.59,-27.10,-16.39,108.17,-27.88,68.19
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,-49.25,127.44,,,,,-10.08,-22.99,,,-3.74,3.63,-35.63,89.71,-13.63,-26.31,30.43,-43.14,27.82,57.72,38.33,61.98,13.25,-54.16,-79.31,-68.49,,,,,
