,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,,-234.15,172.99,,,447.00,,605.08,2580.95,-30.16,-35.46,26.20,42.99,34.55,25.56,47.62,-20.81,10.31,-3.57,-43.10,-26.10,14.99,11.11,6.80,6.42,-466.10,-808.33,-2491.93,-3108.84,-123.46,91.86,135.29,144.72,104.03,117.34,-99.82
ROA_sy,,163.83,-40.25,,,-28.34,,39.31,3833.33,18.84,-2.30,12.40,-48.98,-81.56,-90.87,-54.76,13.29,396.88,645.16,54.27,-46.04,61.48,50.65,-11.07,8.15,-87.83,-110.06,-285.33,-456.78,-1867.20,-1558.57,29.62,125.21,116.43,131.87,159.97
ROA_qq,,,,,-135.59,2704.76,26.33,-39.80,25.24,-26.68,16.75,17.71,41.90,-31.01,8.95,38.39,-23.87,-3.90,-4.76,-18.33,-1.13,49.54,-7.98,-21.50,-1.49,-614.44,-78.05,-165.08,-23.92,61.79,93.51,1249.13,57.04,-96.56,-72.09,-88.33
ROA_sq,,,,,-93.52,1846.67,19.01,-7.19,82.95,-41.19,-2.16,6.77,-16.97,-78.74,-51.56,429.03,107.93,-6.74,-27.36,9.52,-27.27,179.08,-32.23,-35.34,-11.56,-68.59,-156.00,-1091.43,-70.26,-55.56,47.44,49.44,160.99,1.40,1.93,-4.86
OPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPM_yy,,-520.00,520.63,,,1.89,,1215.00,25.60,-29.63,-31.56,-38.78,110.38,60.53,161.67,368.32,-16.09,38.03,-0.21,-53.32,-29.19,11.64,-24.68,-59.38,-112.92,-9451164.06,2051.98,-598646.83,-550069.04,99.98,-38.65,98.50,63.47,97.20,-71.87,67.50
OPM_sy,,64.80,-65.31,,,150.96,,213.65,180.25,-51.59,-46.40,-7.43,-9.78,-7.71,32.70,37.28,7.63,149.14,33.97,40.85,-43.50,-16.17,2.50,-26.15,97.21,-158.71,-83.74,-335.75,-336.67,-1026.85,-453.93,-238.49,46.27,106.22,305.25,108.06
OPM_qq,,,,,935.00,30.43,-2.59,,-1.14,-26.92,-5.26,-10.56,239.75,-44.24,54.43,60.08,-39.12,-8.28,11.64,-25.11,-7.67,44.62,-24.68,-59.60,-129.37,-105761800.00,100.02,-11335.52,73.00,95.64,146.41,-374.15,-558.75,99.67,566.31,-416.65
OPM_sq,,,,,53.65,179.02,-3.24,,37.28,-51.80,7.14,30.58,33.79,-50.70,54.05,35.09,4.90,14.12,-17.16,42.02,-57.92,69.32,1.29,2.32,12.37,-150.40,128.06,-1583.57,-12.81,-139.99,91.19,-1318.87,82.09,127.76,190.99,-44.25
