,2009/Q4,2010/Q4,2011/Q4,2012/Q4,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
OSF_yy,,-15.34,16.94,18.65,,,-4.54,,,,-20.46,,,,-18.85,-20.64,-0.16,6.53,22.29,26.11,12.72,10.90,1.70,2.25,1.57
OSF_sy,,-9.55,3.21,13.18,,,5.40,,,,5.91,,,,-12.35,-20.64,-9.73,-9.73,-7.31,-9.30,-7.12,-6.67,2.43,-10.43,2.92
OSF_qq,,,,,,,2.40,,,,,0.95,-8.40,-3.95,-8.64,-1.27,15.25,2.48,4.88,1.80,3.01,0.83,-3.82,2.35,2.33
OSF_sq,,,,,,,4.70,,,,,12.01,-11.10,-1.03,-11.07,1.42,1.12,-1.03,-8.68,-0.76,3.55,-0.55,0.23,-13.22,18.99
NetDebt,21441000000,20829000000,34439000000,44410000000,,34923000000,38803000000,,,,71610000000,63086000000,66808000000,72502000000,76833000000,136547000000,156794000000,155656000000,158958000000,158476000000,161478000000,158951000000,158741000000,158359000000,151814000000
NetDebt_yy,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sy,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_qq,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebt_sq,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA,,,,,,,,,,,,,,,,,,,,,,,,,
NetDebtEBITDA_yy,,-38.28,79.93,1.27,,,-24.58,,,,58.63,,,,19.76,122.59,125.45,99.05,294.00,4080.37,-252.72,-259.75,-154.86,-104.06,-459.01
