,2005/Q4,2006/Q4,2007/Q4,2008/Q4,2009/Q4,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
ROS_yy,,-34.57,524.53,171.90,-36.22,,,23.87,,-43.79,-8.31,-33.90,144.74,41.21,103.91,70.21,101.08,97.15,-44.25,11.75,7.81,-6.41,87.66,19.46,-8.63,-22.95,-32.72,1.40,5.10,6.88,7.43,-26.41,-0.62,35.95,31.80,18.44,9.36,-20.24
ROS_sy,,-34.57,524.53,151.96,-2.64,,,-1.60,,-57.27,-47.36,-40.86,33.56,50.81,178.80,53.86,100.10,59.50,-37.47,15.41,7.86,19.49,90.24,41.72,-30.95,-44.43,-57.70,-57.44,-33.72,-46.28,-74.55,-63.14,-69.80,-58.58,162.89,79.36,53.77,604.18
ROS_qq,,,,,,,-13.28,15.80,-73.28,109.47,41.46,-16.52,-1.06,20.86,104.27,-30.31,16.88,18.50,-42.24,39.69,12.75,2.88,15.81,-11.07,-13.76,-13.25,1.13,34.03,-10.62,-11.78,1.64,-8.18,20.70,20.69,-1.46,-17.48,11.44,-11.98
ROS_sq,,,,,,,-21.36,17.33,-54.13,0.95,-3.11,31.80,3.60,13.99,79.12,-27.26,34.73,-9.14,-29.78,34.24,25.92,0.66,11.80,,-38.65,-18.99,-14.89,0.60,-4.45,-34.33,-59.69,45.70,-21.72,-9.93,155.89,-0.59,-32.88,312.47
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS_yy,,-740.00,328.12,1.37,166.89,,,15.44,,101.62,205.19,1.10,-31.39,35.74,125.04,160.95,291.23,163.76,-15.04,32.59,23.81,-8.02,49.47,-4.76,-28.79,-34.15,-45.75,-13.76,-12.55,-14.17,-14.46,-47.56,-22.71,20.60,27.39,45.27,40.89,-5.90
RS_sy,,-740.00,328.12,798.29,-31.34,,,-0.33,,-44.37,-56.03,-32.26,46.52,114.88,183.67,73.27,69.17,38.95,-23.74,11.11,-7.18,-12.04,29.35,-3.80,-19.17,-22.98,-41.90,-30.95,-34.48,-15.48,11.72,4.76,3.89,-12.67,-47.88,-57.34,-42.78,67.78
RS_qq,,,,,,,-14.17,115.09,16.67,-6.39,29.92,-28.75,-20.82,85.21,115.38,-17.38,18.70,24.86,-30.62,28.94,10.85,-7.24,12.74,-17.85,-17.12,-14.22,-7.13,30.61,-15.95,-15.80,-7.44,-19.93,23.87,31.37,-2.24,-8.69,20.14,-12.26
RS_sq,,,,,,,32.85,-10.52,-42.40,-18.76,5.00,37.87,24.59,19.14,38.61,-15.79,21.64,-2.15,-23.92,22.69,1.62,-7.27,11.88,-8.75,-14.61,-11.65,-15.60,8.44,-18.97,13.97,11.56,1.69,-19.64,-4.20,-33.41,-16.77,7.77,180.91
GPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPM_yy,,-40.52,500.00,130.19,-30.43,,,33.48,,-45.23,-25.40,-32.77,20.16,37.79,127.96,61.68,163.09,108.78,-43.94,12.58,9.27,-2.21,101.29,26.50,-7.86,-20.98,-32.93,1.61,5.07,7.55,5.05,-28.74,-5.87,22.65,25.50,16.23,8.11,-18.39
GPM_sy,,-40.52,500.00,146.26,-1.96,,,-5.80,,-58.57,-52.98,-37.33,28.88,48.32,194.29,51.61,110.45,67.65,-33.14,14.92,-16.63,-19.34,31.19,-9.58,-18.78,-25.71,-44.56,-24.37,-20.36,-6.70,-21.44,-27.74,-74.43,-72.10,-9.72,-16.44,98.77,551.45
