,2004/Q4,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
EVEBITCurrent_yy,-998.36,99.05,,,,709.02,1024.15,196.20,126.89,-105.73,-96.85,814.10,-6180.30,1665.95,3712.20,-60.37,131.89,480.41,204.51,925.32,-186.03,-142.39,-133.31,-119.60,86.06,69.91,70.34,63.07,-84.21,89.04,82.38,51.52,18.45,-17144.91,22343.19,14769.82,28166.23,376.04,-63.77,-61.22,-81.55,35.59,122.45,204.10,-120.63,-89.81,-202.23
EVEBITCurrent_sy,-12.31,6.60,,,,-31.71,-33.24,-33.38,0.35,-4.08,38.60,33.68,-44.98,-26.43,-1.86,-9.42,119.31,7.96,-17.11,-6.47,-28.18,16.85,3.63,-0.81,-3.47,-8.99,-20.16,-4.28,34.48,32.17,88.86,53.32,30.30,9.43,-32.96,-33.83,-17.96,-34.86,-4.52,15.42,-8.16,2.77,-7.46,-18.51,-8.07,-11.22,-22.06
EVEBITCurrent_qq,,,-0.25,1.07,-85.14,431.70,52.12,-89.70,-48.24,-170.66,183.63,2888.65,-444.27,118.20,103.59,-68.93,176.99,231.27,6.81,4.61,-123.24,-63.21,16.07,38.43,83.47,-252.27,17.27,23.32,17.57,79.04,-32.96,-111.03,-38.67,-4332.28,271.50,39.18,165.30,-56.41,-77.49,48.97,26.25,220.29,-63.07,103.65,-108.56,258.15,-470.62
EVEBITCurrent_sq,,,-15.34,-1.09,-37.44,30.37,-17.24,-1.29,-5.78,24.62,19.58,-4.79,-61.22,66.64,59.53,-12.13,-6.11,-17.97,22.48,-0.85,-27.90,33.44,8.62,-5.09,-29.83,25.81,-4.71,13.78,-1.41,23.65,36.16,-7.63,-16.22,3.84,-16.58,-8.84,3.88,-17.55,22.28,10.19,-17.34,-7.74,10.11,-2.97,-6.75,-10.90,-3.33
EVEBITDACurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVEBITDACurrent_yy,140.08,-279.41,,,,153.73,158.78,117.26,-97.97,-114.66,-88.28,139.86,-1774.91,1259.73,2202.92,-50.84,151.40,339.38,223.29,1834.65,103.56,-408.29,-224.42,-163.74,-125.67,86.80,79.89,69.72,-52.41,90.48,83.80,53.39,21.25,10598.89,1679.52,1404.59,1155.47,-10.75,19.03,12.78,6.59,9.94,28.70,27.83,-326.55,-69.73,122.23
EVEBITDACurrent_sy,15.19,2.44,,,,-12.84,-29.40,-40.41,-6.06,-3.56,46.13,71.66,26.37,-2.45,27.51,-9.51,-9.99,-15.46,-43.89,-21.05,-4.55,-11.91,30.16,-5.52,-18.00,27.73,-18.90,23.86,44.09,21.46,36.59,22.19,19.69,-3.67,-22.27,-35.52,-32.02,-17.59,-4.84,3.79,-3.19,-25.27,-21.56,1.26,-1.88,11.67,5.84
EVEBITDACurrent_qq,,,0.73,-25.51,550.79,-90.43,8.61,-63.16,-46.87,-168.96,186.80,654.19,-471.00,147.75,72.37,-83.90,287.91,308.17,26.82,-3.66,-59.18,-718.16,48.82,50.64,83.56,-217.76,21.99,25.71,17.24,80.14,-32.65,-113.82,-39.82,2747.41,-80.04,76.61,13.12,123.86,-73.38,67.32,6.91,130.90,-68.84,66.18,-289.49,130.86,128.72
EVEBITDACurrent_sq,,,-10.75,5.40,-29.96,32.29,-27.71,-11.03,10.41,35.80,9.54,4.51,-18.72,4.83,43.19,-25.83,-19.14,-1.55,-4.96,4.35,-2.25,-9.14,40.43,-24.26,-15.16,41.53,-10.83,15.68,-1.31,19.31,0.27,3.49,-3.32,-3.98,-19.09,-14.15,1.92,16.41,-6.58,-6.36,-4.92,-10.14,-1.94,20.87,-7.87,2.26,-7.06
ROE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROE_yy,-172.70,-665.26,,,,113.87,106.12,185.53,233.41,311.06,1042.86,-90.63,-96.94,-40.47,-58.56,102.04,,-79.02,-49.19,-32.32,,-1204.31,-1047.03,-2755.22,,-514.44,-324.83,-195.22,,-653.30,-614.04,-363.87,-261.18,94.75,98.19,98.54,97.95,110.47,127.48,150.14,140.33,-77.61,-103.19,-131.46,-2281.31,51767.12,267730.00
ROE_sy,9.68,-19.91,,,,-18.49,-14.79,-12.93,-30.42,34.22,29.89,-16.13,-31.20,-69.72,-68.71,-71.29,,125.65,169.63,180.83,,35.79,-19.40,25.34,,-39.77,-18.40,-36.93,,-17.89,-26.82,2.48,4.13,10.66,-3.11,-9.60,-22.95,17.85,46.98,10.05,14.01,1.80,16.88,25.55,11.58,0.12,8.73
ROE_qq,,,8.77,17.75,27.80,125.59,-59.73,1049.45,12.62,-21.14,11.95,-90.58,-63.27,1436.11,-22.06,-54.06,,,88.79,-38.81,,,-61.90,-71.55,,,-11.94,-19.21,-2.14,-452.63,-6.11,22.55,20.47,91.96,63.42,37.66,-12.11,140.95,-3.99,13.74,-9.83,-77.26,-113.70,-1020.00,-6151.79,640.75,-29.32
ROE_sq,,,-4.25,17.58,18.31,-38.81,0.10,20.15,-5.46,18.04,-3.13,-22.42,-22.44,-48.06,0.12,-28.83,,,19.63,-25.87,,,-28.99,15.28,,,-3.80,-10.90,16.22,-17.57,-14.26,24.77,18.10,-12.41,-24.93,16.42,0.65,33.98,-6.37,-12.84,4.27,19.63,7.50,-6.37,-7.33,7.34,16.75
ROA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROA_yy,-176.30,-564.39,,,,114.37,106.30,200.71,253.90,392.06,1303.70,-88.98,-96.78,-35.81,-61.08,85.90,,-79.90,-61.02,-48.28,,-891.25,-950.43,-2242.67,,-420.70,-311.66,-181.14,,-178.52,-146.45,-62.06,-29.05,95.08,98.45,98.66,97.97,110.62,127.92,153.06,140.87,-77.08,-102.33,-126.92,-1297.87,-46618.18,-541400.00
ROA_sy,14.81,-6.45,,,,-2.93,14.36,12.38,2.28,15.81,8.01,-42.51,-45.92,-64.11,-67.55,-64.37,,80.13,156.04,190.34,,35.47,-25.49,58.43,,-45.53,-18.89,-55.77,,-5.47,-36.36,10.34,-22.28,10.03,16.96,-2.92,-7.01,6.34,27.10,-6.65,32.88,23.40,50.45,63.22,7.86,-5.89,3.09
