,2007/Q4,2008/Q4,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
ZNPO_sy,,45.11,-43.97,,24.19,,,-23.39,8.24,-22.13,50.20,34.38,-40.70,-44.32,-60.58,-72.84,8.67,10.82,20.42,89.92,11.37,-221.16,-376.97,-371.93,-175.92,-488.86,-168.24,-249.62,135.99,89.16,91.19,92.91
ZNPO_qq,,,,,-2.62,5.98,45.99,29.36,92.01,48.65,-39.65,17.46,-406.88,212.17,-74.95,-973.16,58.91,51.26,39.95,-1911.00,445.25,-148.63,-44.73,86.63,57.38,-115.38,-45.05,-181.34,-1587.92,18.41,38.36,54.91
ZNPO_sq,,,,,-8.79,35.16,-39.75,3.13,28.87,-2.76,16.22,-7.73,-43.13,-8.71,-17.71,-36.43,127.53,-6.90,-10.58,0.26,33.43,-201.29,-104.40,1.56,62.75,-685.66,6.89,-28.31,103.83,-336.65,24.33,-3.22
ZFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI_yy,,9.62,0.10,,-9.95,,,-3.24,0.75,630.04,78.06,-25.66,11.04,-61.73,30.63,-1631.06,6.18,-151.99,,,,357.82,,,,-18.28,14.51,87.41,,,,-143.40
ZFI_sy,,18.93,52.67,,-66.25,,,-17.46,54.47,160.93,69.53,36.07,26.69,-26.03,93.86,-55.18,-28.27,-27.86,,,,29.83,,,,0.61,7.47,-19.03,,,,-40.68
ZFI_qq,,,,,5.15,-60.19,72.64,33.90,9.49,188.44,-57.89,-44.10,63.53,-0.59,43.73,-755.21,111.34,-148.68,,,,,-25.30,-1.48,3.36,7.43,4.68,61.24,,,,
ZFI_sq,,,,,-43.23,14.02,-8.38,39.18,6.24,92.60,-40.47,11.71,-1.08,12.46,56.00,-74.17,58.31,13.10,,,,,-5.43,38.47,-30.99,11.32,1.02,4.34,,,,
DTAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTAR_yy,,7.72,6.39,,13.15,,,,-65.13,-5.39,28.07,,77.74,67.85,52.39,43.33,49.62,50.11,64.14,87.39,73.34,59.23,42.57,11.59,2.93,9.43,9.70,2.78,3.47,2.59,5.69,3.81
